"Facility ID","Facility Name","Address","City","State","ZIP Code","County","Telephone","Patients who reported that staff definitely gave care in a professional way and the facility was clean","Patients who reported that staff somewhat gave care in a professional way or the facility was somewhat clean","Patients who reported that staff did not give care in a professional way or the facility was not clean","Facilities and staff linear mean score","Patients who reported that staff definitely communicated about what to expect during and after the procedure","Patients who reported that staff somewhat communicated about what to expect during and after the procedure","Patients who reported that staff did not communicate about what to expect during and after the procedure","Communication about your procedure linear mean score","Patients who gave the facility a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 0 to 6 on a scale from 0 (lowest) to 10 (highest)","Patients’ rating of the facility linear mean score","Patients who reported YES they would DEFINITELY recommend the facility to family or friends.","Patients who reported PROBABLY YES they would recommend the facility to family or friends.","Patients who reported NO, they would not recommend the facility to family or friends.","Patients recommending the facility linear mean score","Footnote","Number of Sampled Patients","Number of Completed Surveys","Survey Response Rate Percent","Start Date","End Date"
01C0001020,MEDPLEX OUTPATIENT SURGERY CENTER LTD,4511 SOUTHLAKE PARKWAY,BIRMINGHAM,AL,35244,,(205) 985-4398,95,5,0,97,92,6,2,95,89,8,3,94,87,10,3,94,,1143,338,30,10/01/2018,09/30/2019
01C0001042,GULF COAST SURGICAL PARTNERS LLC,"3715 DAUPHIN ST, STE. 503B",MOBILE,AL,36608,,(251) 272-4934,98,2,0,99,95,4,1,97,87,11,2,95,91,7,2,96,,1213,265,22,10/01/2018,09/30/2019
01C0001051,ALABAMA DIGESTIVE HEALTH ENDOSCOPY CENTER LLC,2010 BROOKWOOD MEDICAL CTR DR  G100,BIRMINGHAM,AL,35209,,(205) 877-1187,96,4,0,98,91,7,2,94,87,11,2,94,84,13,3,93,,1374,371,27,10/01/2018,09/30/2019
03C0001016,SURGERY CENTER OF PEORIA LLC,13260 NORTH 94TH DR SUITE 200,PEORIA,AZ,85381,,(623) 933-2900,99,1,0,99,92,7,1,95,92,8,0,97,87,12,1,95,,1010,265,26,10/01/2018,09/30/2019
03C0001052,WARNER PARK SURGERY CENTER LLC DBA CENTER FOR ADVANCE SURGERY,3367 SOUTH MERCY RD SUITE 101,GILBERT,AZ,85297,,(480) 899-2571,97,3,0,99,91,7,2,94,87,11,2,95,85,13,2,94,,1141,381,33,10/01/2018,09/30/2019
03C0001056,PHYSICIANS SURGERY CENTER OF TEMPE LLC DBA PHYSICIANS SURGERY CENTER OF TEMPE,2905 WEST WARNER RD SUITE 10,CHANDLER,AZ,85282,,(480) 820-7101,96,4,0,98,87,10,3,92,82,17,1,94,81,18,1,93,,945,283,30,10/01/2018,09/30/2019
03C0001247,SURGERY CENTER OF SCOTTSDALE LLC DBA MOUNTAIN VIEW SURGERY CENTER OF SCOTTSDALE,8962 EAST DESERT COVE AVE SUITE 120A,SCOTTSDALE,AZ,85260,,(480) 661-5232,96,3,1,98,93,5,2,96,91,7,2,96,89,9,2,96,,1200,327,27,10/01/2018,09/30/2019
03C0001265,ST JOSEPH'S OUTPATIENT SURGERY CENTER LLC,240 W. THOMAS RD,PHOENIX,AZ,85013,,(602) 406-3552,97,3,0,98,88,10,2,93,87,11,2,94,85,13,2,94,,904,205,23,10/01/2018,09/30/2019
03C0001279,CHANDLER ENDOSCOPY AMBULATORY SURGERY CENTER LLC DBA CHANDLER ENDOSCOPY CENTER,2095 WEST PECOS RD SUITE A1,CHANDLER,AZ,85224,,(480) 292-9795,98,2,0,99,94,5,1,97,91,7,2,96,89,9,2,95,,1038,360,35,10/01/2018,09/30/2019
03C0001286,DIGESTIVE HEALTH SPECIALISTS,"8573 EAST PRINCESS DR, SUITE 117",SCOTTSDALE,AZ,85255,,(480) 513-2455,98,2,0,99,91,7,2,94,94,5,1,97,92,7,1,97,,1331,512,38,10/01/2018,09/30/2019
03C0001289,CARONDELET ST MARYS NORTHWEST LLC DBA CARONDELET FOOTHILLS SURGERY CENTER,2220 WEST ORANGE GROVE RD,TUCSON,AZ,85741,,(520) 877-5665,95,4,1,97,89,8,3,93,81,16,3,93,79,19,2,92,,1082,370,34,10/01/2018,09/30/2019
03C0001290,CAMP LOWELL SURGERY CENTER LLC DBA CAMP LOWELL SURGERY CENTER,4620 EAST CAMP LOWELL DR,TUCSON,AZ,85712,,(520) 618-6058,97,3,0,98,92,7,1,96,86,12,2,95,87,12,1,95,,1027,453,44,10/01/2018,09/30/2019
03C0001298,SURGICAL ELITE OF AVONDALE LLC,10815 WEST MCDOWELL RD SUITE 101,AVONDALE,AZ,85392,,(623) 433-0192,98,2,0,99,92,7,1,95,90,8,2,95,90,9,1,96,,1207,272,23,10/01/2018,09/30/2019
