"Facility Name","Facility ID","NPI","City","State","ZIP Code","Year","ASC-1 Measure Rate","ASC-1 Footnote","ASC-2 Measure Rate","ASC-2 Footnote","ASC-3 Measure Rate","ASC-3 Footnote","ASC-4 Measure Rate","ASC-4 Footnote","ASC-9 Rate","ASC-9 Footnote","ASC-10 Rate","ASC-10 Footnote","ASC-11 Rate","ASC-11 Footnote","ASC-13 Rate","ASC-13 Footnote","ASC-14 Rate","ASC-14 Footnote","ASC-12 Total Cases","ASC-12 Performance Category","ASC-12 RSHV Rate","ASC-12 Interval Lower Limit","ASC-12 Interval Upper Limit","ASC-12 Footnote"
THE SURGERY CENTER AT NORTHBAY VACA VALLEY,05C0001831,1003015843,VACAVILLE,CA,95687,2018,0,,0,,0,,0,,75.83,,71.67,,N/A,5,N/A,5,0,,805,No Different than the National Rate,15.5,11.7,20.6,
CARLSBAD SURGERY CENTER LLC,05C0001873,1003017351,CARLSBAD,CA,92011,2018,0,,0,,0,,0,,40,,N/A,1,N/A,5,99.74,,N/A,5,63,No Different than the National Rate,12,8.5,16.5,
MIDWEST ENDOSCOPY CENTER LLC,14C0001134,1003036310,NAPERVILLE,IL,60540,2018,1.723,,0,,0,,0,,96.12,,96.67,,N/A,5,N/A,5,N/A,5,1912,No Different than the National Rate,11.5,8.9,14.9,
ADVANCED SURGICAL CARE OF BATON ROUGE LLC,19C0001115,1003062274,BATON ROUGE,LA,70808,2018,0,,2.053,,0,,0,,N/A,5,N/A,5,N/A,5,100,,3.29,,N/A,N/A,N/A,N/A,N/A,5
WASC LLC DBA WOOSTER AMBULATORY SURGERY CENTER,36C0001248,1003079187,WOOSTER,OH,44691,2018,0,,0,,0,,0,,94.16,,80,,N/A,5,100,,0.74,,340,No Different than the National Rate,13.4,9.8,18.5,
NEW ALBANY SURGERY CENTER LLC,36C0001267,1003103474,NEW ALBANY,OH,43054,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,100,,N/A,5,N/A,N/A,N/A,N/A,N/A,5
CREVE COEUR SURGERY CENTER LLC,26C0001033,1003110792,CREVE COEUR,MO,63141,2018,0,,0,,0,,1.938,,N/A,5,N/A,5,N/A,5,94.82,,N/A,5,N/A,N/A,N/A,N/A,N/A,5
NORTHERN NJ ENDOSCOPY CENTER LLC,31C0001270,1003116823,NEWTON,NJ,7860,2018,0,,0,,0,,0,,53.13,,10.86,,N/A,5,N/A,5,N/A,5,1385,No Different than the National Rate,11.2,8.4,15.1,
MOUNTAIN WEST SURGERY CENTER LLC,46C0001039,1003119470,BOUNTIFUL,UT,84010,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,0,,0.6,,N/A,N/A,N/A,N/A,N/A,5
MEMORIAL HERMANN ENDOSCOPY CENTER NORTH FREEWAY DBA MEMORIAL HERMANN ENDOSCOPY CENTER NORTH LOOP,45C0001363,1003127606,HOUSTON,TX,77018,2018,0,,0,,0,,0,,100,,100,,N/A,5,N/A,5,N/A,5,550,No Different than the National Rate,13.3,9.8,17.9,
NEWPORT PLAZA SURGERY CENTER,05C0001672,1003138736,COSTA MESA,CA,92627,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,0,,N/A,5,N/A,N/A,N/A,N/A,N/A,5
PSA AMBULATORY SURGERY CENTER OF KILLEEN LLC,45C0001569,1003166844,KILLEEN,TX,76542,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,92.21,,N/A,5,N/A,N/A,N/A,N/A,N/A,5
CANDESCENT EYE HEALTH SURGICENTER LLC,22C0001007,1003168907,DARTMOUTH,MA,2747,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,0.49,,N/A,N/A,N/A,N/A,N/A,5
MIDWEST SURGERY CENTER LLC,26C0001147,1003171745,CAPE GIRARDEAU,MO,63703,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,79,No Different than the National Rate,12.6,9,17.5,
CENTRAL OHIO ENDOSCOPY CENTER LLC,36C0001284,1003220187,COLUMBUS,OH,43202,2018,0,,0,,0,,0.851,,92,,75.61,,N/A,5,N/A,5,N/A,5,3619,No Different than the National Rate,13.1,10.5,16.2,
NORTHWEST ENDO CENTER LLC,14C0001168,1003260498,ARLINGTON HEIGHTS,IL,60005,2018,0,,0,,0,,0,,100,,100,,N/A,5,N/A,5,N/A,5,692,No Different than the National Rate,12.5,9.1,16.9,
PAIN CENTERS OF MINNESOTA CHASKA LLC,24C0001090,1003272980,CHASKA,MN,55318,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
GREAT LAKES SURGERY CTR LLC,23C0001131,1003273129,ST JOSEPH,MI,49085,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,0.27,,N/A,N/A,N/A,N/A,N/A,5
CENTER FOR SOUTHSIDE SURGERY LLC,15C0001199,1003292483,GREENWOOD,IN,46143,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
CLINTON COUNTY OUTPATIENT SURGERY LLC,36C0001099,1003323353,WILMINGTON,OH,45177,2018,0,,0,,0,,0,,91.89,,96.36,,N/A,5,N/A,5,N/A,5,314,No Different than the National Rate,12.2,8.9,16.5,
NEPHROLOGY PHYSICIANS LLC DBA AZURA SURGERY CENTER MICHIANA VASCULAR,15C0001203,1003357377,MISHAWAKA,IN,19355,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
MINNESOTA EYE INSTITUTE SURGERY CENTER LLC,24C0001043,1003802950,ALEXANDRIA,MN,56308,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,0.1,,N/A,N/A,N/A,N/A,N/A,5
LAKEVIEW SURGERY CENTER,16C0001014,1003807835,WEST DES MOINES,IA,50266,2018,0,,0,,0,,0.819,,N/A,5,N/A,5,N/A,5,98.41,,N/A,5,N/A,N/A,N/A,N/A,N/A,5
UNIVERSITY SURGERY CENTER LTD,10C0001203,1003813221,WINTER PARK,FL,32792,2018,0,,0,,0,,0,,100,,100,,N/A,5,100,,N/A,5,892,No Different than the National Rate,13.4,10.2,17.8,
DOTHAN SURGERY CENTER LLC,01C0001039,1003815242,DOTHAN,AL,36301,2018,2.437,,3.324,,0.666,,1.553,,90.63,,93.75,,N/A,5,100,,0.31,,4741,Worse than the National Rate,15,12.6,18,
SAGAMORE SURGICAL SERVICES,15C0001041,1003816307,LAFAYETTE,IN,47909,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,100,,N/A,5,N/A,N/A,N/A,N/A,N/A,5
NORTHRIDGE FACIAL PLASTIC SURGERY MEDICAL GROUP,05C0001366,1003824434,NORTHRIDGE,CA,91325,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,93.33,,N/A,5,N/A,N/A,N/A,N/A,N/A,5
SUMMIT SURGERY CENTER LLC,19C0001097,1003842527,COVINGTON,LA,70433,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
AMBULATORY CENTER FOR ENDOSCOPY LLC,31C0001203,1003842626,NORTH BERGEN,NJ,7047,2018,0,,0,,0,,0,,78.93,,60.93,,N/A,5,N/A,5,N/A,5,1247,No Different than the National Rate,13.3,10.2,17.6,
WESTSIDE OUTPATIENT CENTER LLC,10C0001355,1003847500,ROYAL PALM BEACH,FL,33411,2018,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,100,,N/A,5,N/A,N/A,N/A,N/A,N/A,5
