"State","ASC-1 Measure State Rate","ASC-2 Measure State Rate","ASC-3 Measure State Rate","ASC-4 Measure State Rate","Avg ASC-9 State Rate","Avg ASC-10 State Rate","Avg ASC-11 State Rate","Avg ASC-13 State Rate","Avg ASC-14 State Rate","Median ASC-9 State Rate","Median ASC-10 State Rate","Median ASC-11 State Rate","Median ASC-13 State Rate","Median ASC-14 State Rate","ASC-12 Better","ASC-12 No Different","ASC-12 Worse","ASC-12 Too Small"
AK,0.351,0.117,0.000,0.117,90.95,80.49,100.00,69.68,0.66,89.89,77.12,100.00,100.00,0.14,0,7,0,0
AL,0.153,0.236,0.055,0.430,78.03,58.82,N/A (5),95.92,0.37,89.08,88.01,N/A (5),100.00,0.32,0,21,1,1
AR,0.085,0.071,0.042,0.297,85.39,76.94,99.52,90.83,0.39,91.94,77.36,99.47,98.01,0.17,0,17,2,1
AZ,0.155,0.068,0.025,0.539,82.68,57.37,99.78,88.36,0.25,88.06,77.86,99.78,100.00,0.19,0,55,1,4
CA,0.138,0.076,0.021,0.216,80.03,68.84,93.63,85.86,0.59,91.44,90.46,100.00,99.83,0.36,5,267,0,39
CO,0.144,0.067,0.010,0.240,88.92,62.87,100.00,73.54,0.61,92.17,82.96,100.00,97.82,0.17,0,42,0,4
CT,0.025,0.076,0.000,0.280,83.28,81.72,99.91,81.78,0.43,91.57,87.16,99.91,99.43,0.46,0,23,0,1
DC,0.000,0.000,0.000,0.000,90.35,95.55,98.70,N/A (5),1.39,89.62,95.20,98.70,N/A (5),1.39,0,3,0,0
DE,0.131,0.026,0.000,0.287,93.29,82.81,99.33,97.07,0.22,96.50,97.67,99.33,95.58,0.18,0,14,0,0
FL,0.125,0.098,0.043,0.326,76.45,75.30,99.45,77.97,0.40,88.89,92.06,100.00,100.00,0.24,2,183,2,14
GA,0.167,0.060,0.028,0.214,81.92,57.90,90.96,74.83,0.36,86.75,80.66,100.00,100.00,0.25,0,73,0,2
GU,0.000,0.000,0.000,0.000,0.00,81.82,N/A (5),99.42,0.49,0.00,81.82,N/A (5),99.42,0.49,0,2,0,0
HI,0.000,0.000,0.000,0.184,86.78,61.14,N/A (5),93.84,0.49,93.54,71.01,N/A (5),100.00,0.07,0,13,0,0
IA,0.026,0.155,0.026,0.619,92.84,90.56,N/A (5),99.51,0.21,100.00,100.00,N/A (5),100.00,0.14,0,13,0,1
ID,0.032,0.000,0.000,0.482,74.70,93.04,98.98,99.68,0.27,87.44,93.33,99.47,100.00,0.22,0,16,0,2
IL,0.105,0.075,0.022,0.352,89.14,76.87,98.57,98.46,0.39,94.29,93.96,100.00,100.00,0.26,0,53,1,11
IN,0.120,0.052,0.000,0.532,93.19,95.72,99.33,95.00,0.26,98.99,98.25,100.00,98.93,0.16,1,43,1,6
KS,0.046,0.061,0.000,0.567,93.96,84.81,100.00,73.60,0.41,96.33,92.32,100.00,99.91,0.20,0,24,0,5
KY,0.019,0.038,0.000,0.441,94.00,91.96,100.00,99.86,0.21,98.96,99.48,100.00,100.00,0.22,0,15,0,1
LA,0.035,0.070,0.000,0.245,91.21,84.78,99.90,95.85,0.61,97.80,97.64,100.00,100.00,0.48,0,30,0,2
MA,0.137,0.025,0.025,0.324,86.32,72.95,75.00,98.06,0.46,96.62,96.24,75.00,100.00,0.44,0,20,0,0
MD,0.377,0.073,0.020,0.352,81.64,90.97,99.23,92.75,0.51,95.06,96.50,100.00,99.53,0.36,1,64,0,10
ME,0.000,0.000,0.000,0.146,92.03,96.32,0.00,97.48,0.49,92.03,96.32,0.00,96.83,0.56,0,3,0,0
MI,0.161,0.090,0.000,0.655,90.21,78.21,99.97,87.10,0.32,96.57,96.46,98.96,100.00,0.26,0,42,1,5
MN,0.378,0.058,0.029,0.612,95.93,88.46,99.29,91.13,0.28,96.52,95.24,98.76,99.55,0.12,0,21,0,6
MO,0.148,0.074,0.011,0.349,89.61,77.40,99.88,83.86,0.38,92.72,93.08,100.00,100.00,0.19,0,42,0,3
MS,0.059,0.059,0.000,0.309,94.57,76.87,99.95,88.89,0.46,98.50,96.54,100.00,99.44,0.23,0,22,2,1
MT,0.131,0.000,0.000,0.328,99.16,99.46,99.88,99.69,8.96,99.31,100.00,99.88,99.57,0.24,0,5,0,0
NC,0.100,0.062,0.000,0.340,82.70,78.19,100.00,89.37,0.36,94.34,90.73,100.00,99.94,0.28,1,81,0,2
ND,0.943,0.000,0.000,0.419,96.45,89.24,N/A (5),98.36,0.12,96.99,96.55,N/A (5),99.62,0.06,0,5,0,1
NE,1.616,0.089,0.000,0.509,93.68,79.99,100.00,97.85,0.27,97.78,93.15,100.00,99.37,0.25,0,19,0,1
NH,0.182,0.091,0.045,0.454,95.53,95.09,N/A (5),95.00,0.41,96.83,95.21,N/A (5),99.05,0.28,0,11,0,0
