Incentive Payment Range,Number of Hospitals Receiving this Range
">$1,000,000",543
"$950,001 to $1,000,000",36
"$900,001 to $950,000",48
"$850,001 to $900,000",39
"$800,001 to $850,000",54
"$750,001 to $800,000",59
"$700,001 to $750,000",61
"$650,001 to $700,000",63
"$600,001 to $650,000",90
"$550,001 to $600,000",84
"$500,001 to $550,000",97
"$450,001 to $500,000",97
"$400,001 to $450,000",129
"$350,001 to $400,000",144
"$300,001 to $350,000",147
"$250,001 to $300,000",174
"$200,001 to $250,000",174
"$150,001 to $200,000",195
"$100,001 to $150,000",208
"$50,001 to $100,000",229
"$1 to $50,000",126
$0 to $0,0
,
"Maximum Value Based Incentive Payment Amount: $10,390,320.11",
Number of Hospitals Receiving the Maximum Value Based Incentive Payment in FY 2018: 1,
