"State","Patients who reported that staff definitely gave care in a professional way and the facility was clean","Patients who reported that staff somewhat gave care in a professional way or the facility was somewhat clean","Patients who reported that staff did not give care in a professional way or the facility was not clean","Facilities and staff linear mean score","Patients who reported that staff definitely communicated about what to expect during and after the procedure","Patients who reported that staff somewhat communicated about what to expect during and after the procedure","Patients who reported that staff did not communicate about what to expect during and after the procedure","Communication about your procedure linear mean score","Patients who gave the facility a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 0 to 6 on a scale from 0 (lowest) to 10 (highest)","Patients’ rating of the facility linear mean score","Patients who reported YES they would DEFINITELY recommend the facility to family or friends.","Patients who reported PROBABLY YES they would recommend the facility to family or friends.","Patients who reported NO, they would not recommend the facility to family or friends.","Patients recommending the facility linear mean score","Number of Sampled Patients","Number of Completed Surveys","Survey Response Rate Percent","Start Date","End Date"
Alabama,96,3,1,98,92,6,2,95,83,14,3,93,81,17,2,93,51558,14019,28,10/01/2018,09/30/2019
Alaska,97,2,1,98,92,6,2,95,86,11,3,94,85,13,2,95,2455,562,23,10/01/2018,09/30/2019
American Samoa,,,,,,,,,,,,,,,,,,,,,
Arizona,97,3,0,99,91,7,2,95,87,11,2,94,83,14,3,93,9091,2831,32,10/01/2018,09/30/2019
Arkansas,96,3,1,98,90,8,2,94,82,15,3,93,78,20,2,92,13727,3551,26,10/01/2018,09/30/2019
California,96,3,1,97,89,8,3,93,84,13,3,93,83,14,3,93,251201,67747,28,10/01/2018,09/30/2019
Colorado,97,3,0,98,91,8,1,95,86,12,2,94,83,15,2,94,55459,15154,28,10/01/2018,09/30/2019
Commonwealth of the Northern Marianas Islands,,,,,,,,,,,,,,,,,,,,,
Connecticut,97,3,0,99,91,7,2,95,86,12,2,94,83,15,2,93,11316,3039,27,10/01/2018,09/30/2019
Delaware,98,2,0,98,93,6,1,96,86,12,2,94,83,15,2,93,8440,2218,27,10/01/2018,09/30/2019
District of Columbia,93,6,1,96,88,10,2,93,77,19,4,91,78,17,5,91,1232,260,21,10/01/2018,09/30/2019
Florida,97,3,0,98,91,7,2,94,86,11,3,94,85,13,2,94,76585,20473,27,10/01/2018,09/30/2019
Georgia,96,4,0,98,91,7,2,95,85,12,3,93,82,16,2,93,56308,13460,24,10/01/2018,09/30/2019
Guam,,,,,,,,,,,,,,,,,,,,,
Hawaii,97,3,0,98,92,6,2,95,85,13,2,94,84,14,2,94,6460,2088,33,10/01/2018,09/30/2019
Idaho,97,3,0,98,91,8,1,95,85,13,2,94,82,16,2,93,17248,5059,31,10/01/2018,09/30/2019
Illinois,97,3,0,98,91,7,2,95,84,13,3,93,80,18,2,92,103063,29746,30,10/01/2018,09/30/2019
Indiana,98,2,0,99,92,6,2,95,87,11,2,94,81,17,2,93,33994,9126,30,10/01/2018,09/30/2019
Iowa,98,2,0,99,92,7,1,96,86,12,2,94,82,16,2,93,49070,16707,35,10/01/2018,09/30/2019
Kansas,97,3,0,98,91,7,2,95,84,14,2,94,79,19,2,92,24080,6283,29,10/01/2018,09/30/2019
Kentucky,97,3,0,98,92,7,1,95,85,13,2,94,80,18,2,92,24047,6020,25,10/01/2018,09/30/2019
Louisiana,97,3,0,98,92,6,2,95,86,11,3,94,84,14,2,94,49123,11881,25,10/01/2018,09/30/2019
Maine,97,3,0,98,93,5,2,96,83,14,3,93,79,19,2,92,17493,5609,32,10/01/2018,09/30/2019
Maryland,97,3,0,98,92,6,2,95,84,13,3,93,79,19,2,92,15534,4563,29,10/01/2018,09/30/2019
Massachusetts,97,3,0,98,92,6,2,95,84,14,2,94,84,14,2,94,33216,9621,30,10/01/2018,09/30/2019
Michigan,98,2,0,99,92,6,2,95,85,13,2,94,80,18,2,92,40571,11773,29,10/01/2018,09/30/2019
Minnesota,98,2,0,99,91,7,2,95,85,13,2,94,81,17,2,93,42315,14555,35,10/01/2018,09/30/2019
Mississippi,97,3,0,98,92,6,2,95,86,11,3,94,84,14,2,93,25203,6055,24,10/01/2018,09/30/2019
Missouri,97,3,0,98,91,7,2,95,84,14,2,94,80,18,2,92,39502,10740,27,10/01/2018,09/30/2019
Montana,97,3,0,98,90,8,2,94,83,15,2,93,80,18,2,93,19336,6021,31,10/01/2018,09/30/2019
Nebraska,97,3,0,99,90,8,2,95,85,13,2,94,81,18,1,93,14240,4894,35,10/01/2018,09/30/2019
Nevada,95,4,1,97,88,9,3,92,82,14,4,93,82,16,2,93,12605,3263,26,10/01/2018,09/30/2019
New Hampshire,97,3,0,99,93,6,1,96,84,13,3,93,79,19,2,92,25242,7711,31,10/01/2018,09/30/2019
New Jersey,96,4,0,98,91,6,3,94,86,11,3,94,84,14,2,94,25855,5511,22,10/01/2018,09/30/2019
New Mexico,95,4,1,97,90,8,2,94,82,14,4,93,81,16,3,92,14024,3351,24,10/01/2018,09/30/2019
New York,96,4,0,98,91,7,2,94,82,15,3,93,79,19,2,92,91762,24172,27,10/01/2018,09/30/2019
North Carolina,97,3,0,98,92,6,2,95,87,11,2,94,83,15,2,93,126906,34475,28,10/01/2018,09/30/2019
North Dakota,96,4,0,98,90,8,2,94,79,17,4,92,75,23,2,90,6055,1925,32,10/01/2018,09/30/2019
Ohio,97,3,0,98,91,7,2,95,85,13,2,94,81,17,2,93,161757,42996,27,10/01/2018,09/30/2019
Oklahoma,97,3,0,99,92,6,2,95,87,11,2,95,86,12,2,94,51334,13353,26,10/01/2018,09/30/2019
Oregon,97,3,0,99,92,6,2,95,85,13,2,94,84,15,1,94,20497,6261,31,10/01/2018,09/30/2019
Pennsylvania,97,3,0,98,92,6,2,95,86,12,2,94,82,16,2,93,92660,27180,30,10/01/2018,09/30/2019
Puerto Rico,,,,,,,,,,,,,,,,,,,,,
Rhode Island,97,3,0,98,90,7,3,94,86,12,2,94,84,14,2,94,10237,2512,25,10/01/2018,09/30/2019
South Carolina,97,3,0,98,91,7,2,95,83,14,3,93,80,17,3,92,24018,6339,27,10/01/2018,09/30/2019
South Dakota,97,3,0,99,92,6,2,95,84,13,3,93,86,13,1,95,15493,2924,19,10/01/2018,09/30/2019
Tennessee,96,3,1,98,91,7,2,95,85,12,3,94,82,16,2,93,74662,20054,27,10/01/2018,09/30/2019
Texas,97,2,1,98,92,6,2,95,88,10,2,95,85,13,2,94,140328,33572,25,10/01/2018,09/30/2019
Utah,97,3,0,98,90,8,2,94,86,12,2,94,85,13,2,94,65705,17027,26,10/01/2018,09/30/2019
Vermont,98,2,0,99,92,6,2,95,84,14,2,93,82,16,2,93,11104,3274,32,10/01/2018,09/30/2019
Virgin Islands,,,,,,,,,,,,,,,,,,,,,
Virginia,97,3,0,98,92,7,1,96,85,13,2,94,81,17,2,93,35623,9632,27,10/01/2018,09/30/2019
Washington,97,3,0,98,91,7,2,95,83,14,3,93,82,16,2,93,58595,16475,28,10/01/2018,09/30/2019
West Virginia,96,3,1,98,92,7,1,95,82,15,3,93,80,17,3,92,24177,6151,26,10/01/2018,09/30/2019
Wisconsin,98,2,0,99,92,6,2,95,86,12,2,94,82,16,2,93,71813,23917,34,10/01/2018,09/30/2019
Wyoming,97,3,0,98,92,7,1,95,84,13,3,93,81,17,2,93,4389,1111,27,10/01/2018,09/30/2019
