"Facility ID","Facility Name","Hospital Type","Address","City","State","ZIP Code","County Name","Measure ID","Measure Description","Hospital Performance","Denominator","Footnote","Start Date","End Date"
050146,CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL,Acute Care Hospitals,1500 E DUARTE ROAD,DUARTE,CA,91010,LOS ANGELES,PCH-14,Oncology: Radiation Dose Limits to Normal Tissues,100,274,,01/01/2018,12/31/2018
050146,CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL,Acute Care Hospitals,1500 E DUARTE ROAD,DUARTE,CA,91010,LOS ANGELES,PCH-15,Oncology: Plan of Care for Pain - Medical Oncology and Radiation Oncology,92,500,2,01/01/2018,12/31/2018
050146,CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL,Acute Care Hospitals,1500 E DUARTE ROAD,DUARTE,CA,91010,LOS ANGELES,PCH-16,Oncology: Medical and Radiation - Pain Intensity Quantified,99,2765,,01/01/2018,12/31/2018
050146,CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL,Acute Care Hospitals,1500 E DUARTE ROAD,DUARTE,CA,91010,LOS ANGELES,PCH-17,Prostate Cancer: Adjuvant Hormonal Therapy for High or Very High Risk Cancer Patients,100,131,,01/01/2018,12/31/2018
050146,CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL,Acute Care Hospitals,1500 E DUARTE ROAD,DUARTE,CA,91010,LOS ANGELES,PCH-18,Prostate Cancer: Avoidance of Overuse of Bone Scan for Staging Low Risk Prostate Cancer Patients,100,42,,01/01/2018,12/31/2018
050660,USC KENNETH NORRIS JR CANCER HOSPITAL,Acute Care Hospitals,1441 EASTLAKE AVE,LOS ANGELES,CA,90089,LOS ANGELES,PCH-14,Oncology: Radiation Dose Limits to Normal Tissues,100,97,,01/01/2018,12/31/2018
050660,USC KENNETH NORRIS JR CANCER HOSPITAL,Acute Care Hospitals,1441 EASTLAKE AVE,LOS ANGELES,CA,90089,LOS ANGELES,PCH-15,Oncology: Plan of Care for Pain - Medical Oncology and Radiation Oncology,64,118,2,01/01/2018,12/31/2018
050660,USC KENNETH NORRIS JR CANCER HOSPITAL,Acute Care Hospitals,1441 EASTLAKE AVE,LOS ANGELES,CA,90089,LOS ANGELES,PCH-16,Oncology: Medical and Radiation - Pain Intensity Quantified,67,501,2,01/01/2018,12/31/2018
050660,USC KENNETH NORRIS JR CANCER HOSPITAL,Acute Care Hospitals,1441 EASTLAKE AVE,LOS ANGELES,CA,90089,LOS ANGELES,PCH-17,Prostate Cancer: Adjuvant Hormonal Therapy for High or Very High Risk Cancer Patients,88,24,,01/01/2018,12/31/2018
050660,USC KENNETH NORRIS JR CANCER HOSPITAL,Acute Care Hospitals,1441 EASTLAKE AVE,LOS ANGELES,CA,90089,LOS ANGELES,PCH-18,Prostate Cancer: Avoidance of Overuse of Bone Scan for Staging Low Risk Prostate Cancer Patients,100,22,,01/01/2018,12/31/2018
100079,UNIV OF MIAMI HOSPITAL AND CLINICS-SYLVESTER COMPR,Acute Care Hospitals,1475 NW 12TH AVE,MIAMI,FL,33136,MIAMI-DADE,PCH-14,Oncology: Radiation Dose Limits to Normal Tissues,100,219,,01/01/2018,12/31/2018
100079,UNIV OF MIAMI HOSPITAL AND CLINICS-SYLVESTER COMPR,Acute Care Hospitals,1475 NW 12TH AVE,MIAMI,FL,33136,MIAMI-DADE,PCH-15,Oncology: Plan of Care for Pain - Medical Oncology and Radiation Oncology,100,100,2,01/01/2018,12/31/2018
100079,UNIV OF MIAMI HOSPITAL AND CLINICS-SYLVESTER COMPR,Acute Care Hospitals,1475 NW 12TH AVE,MIAMI,FL,33136,MIAMI-DADE,PCH-16,Oncology: Medical and Radiation - Pain Intensity Quantified,100,800,2,01/01/2018,12/31/2018
100079,UNIV OF MIAMI HOSPITAL AND CLINICS-SYLVESTER COMPR,Acute Care Hospitals,1475 NW 12TH AVE,MIAMI,FL,33136,MIAMI-DADE,PCH-17,Prostate Cancer: Adjuvant Hormonal Therapy for High or Very High Risk Cancer Patients,100,20,,01/01/2018,12/31/2018
100079,UNIV OF MIAMI HOSPITAL AND CLINICS-SYLVESTER COMPR,Acute Care Hospitals,1475 NW 12TH AVE,MIAMI,FL,33136,MIAMI-DADE,PCH-18,Prostate Cancer: Avoidance of Overuse of Bone Scan for Staging Low Risk Prostate Cancer Patients,97,29,,01/01/2018,12/31/2018
100271,H LEE MOFFITT CANCER CENTER & RESEARCH INSTITUTE I,Acute Care Hospitals,12902 MAGNOLIA DR,TAMPA,FL,33612,HILLSBOROUGH,PCH-14,Oncology: Radiation Dose Limits to Normal Tissues,100,52,2,01/01/2018,12/31/2018
100271,H LEE MOFFITT CANCER CENTER & RESEARCH INSTITUTE I,Acute Care Hospitals,12902 MAGNOLIA DR,TAMPA,FL,33612,HILLSBOROUGH,PCH-15,Oncology: Plan of Care for Pain - Medical Oncology and Radiation Oncology,100,100,2,01/01/2018,12/31/2018
