"Facility Name","Facility ID","State","Fiscal Year","PSI-90 Start Date","PSI-90 End Date","PSI-90 W Z Score","PSI-90 Footnote","CLABSI W Z Score","CLABSI Footnote","CAUTI W Z Score","CAUTI Footnote","SSI W Z Score","SSI Footnote","MRSA W Z Score","MRSA Footnote","CDI W Z Score","CDI Footnote","HAI Measures Start Date","HAI Measures End Date","Total HAC Score","Total HAC Footnote","Payment Reduction","Payment Reduction Footnote"
SOUTHEAST ALABAMA MEDICAL CENTER,010001,AL,2020,07/01/2016,06/30/2018,0.0144,,1.0325,,0.1160,,-1.2403,,-0.5533,,-0.4571,,01/01/2017,12/31/2018,-0.1813,,No,
MARSHALL MEDICAL CENTERS SOUTH CAMPUS,010005,AL,2020,07/01/2016,06/30/2018,0.1869,,2.1941,,-0.1406,,-0.1681,,2.2502,,-0.6434,,01/01/2017,12/31/2018,0.6132,,Yes,
NORTH ALABAMA MEDICAL CENTER,010006,AL,2020,07/01/2016,06/30/2018,0.2308,,0.3263,,0.7792,,-0.6508,,0.8325,,-0.7786,,01/01/2017,12/31/2018,0.1232,,No,
MIZELL MEMORIAL HOSPITAL,010007,AL,2020,07/01/2016,06/30/2018,-0.0548,,N/A,5,-1.5354,,N/A,5,N/A,5,-0.7877,,01/01/2017,12/31/2018,-0.7926,,No,
CRENSHAW COMMUNITY HOSPITAL,010008,AL,2020,07/01/2016,06/30/2018,-0.0047,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,01/01/2017,12/31/2018,-0.0047,,No,
ST VINCENT'S EAST,010011,AL,2020,07/01/2016,06/30/2018,1.5059,,0.0419,,0.6766,,-0.9547,,-0.5373,,-0.6705,,01/01/2017,12/31/2018,0.0103,,No,
DEKALB REGIONAL MEDICAL CENTER,010012,AL,2020,07/01/2016,06/30/2018,-0.8978,,-1.4459,,-1.0356,,-1.5000,,-1.4453,,-1.2595,,01/01/2017,12/31/2018,-1.2640,,No,
SHELBY BAPTIST MEDICAL CENTER,010016,AL,2020,07/01/2016,06/30/2018,0.4032,,-0.6026,,-0.4769,,-1.1463,,0.2131,,-0.0184,,01/01/2017,12/31/2018,-0.2713,,No,
UAB CALLAHAN EYE HOSPITAL AUTHORITY,010018,AL,2020,07/01/2016,06/30/2018,-0.0612,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,01/01/2017,12/31/2018,-0.0612,,No,
HELEN KELLER MEMORIAL HOSPITAL,010019,AL,2020,07/01/2016,06/30/2018,-0.4278,,0.2309,,-1.2864,,0.3274,,0.6272,,-0.8448,,01/01/2017,12/31/2018,-0.2289,,No,
DALE MEDICAL CENTER,010021,AL,2020,07/01/2016,06/30/2018,2.2865,,N/A,5,N/A,5,N/A,5,N/A,5,-1.9626,,01/01/2017,12/31/2018,0.1620,,No,
FLOYD CHEROKEE MEDICAL CENTER,010022,AL,2020,07/01/2016,06/30/2018,0.0517,,N/A,5,N/A,5,N/A,5,N/A,5,0.1319,,01/01/2017,12/31/2018,0.0918,,No,
BAPTIST MEDICAL CENTER SOUTH,010023,AL,2020,07/01/2016,06/30/2018,-0.7602,,-0.1849,,0.3820,,-0.3063,,0.5352,,0.6307,,01/01/2017,12/31/2018,0.0494,,No,
JACKSON HOSPITAL & CLINIC INC,010024,AL,2020,07/01/2016,06/30/2018,0.4559,,1.7386,,0.9502,,0.1635,,1.2662,,1.5773,,01/01/2017,12/31/2018,1.0253,,Yes,
EAST ALABAMA MEDICAL CENTER,010029,AL,2020,07/01/2016,06/30/2018,-1.3197,,0.9787,,0.7716,,-0.6139,,-0.0223,,-0.3249,,01/01/2017,12/31/2018,-0.0884,,No,
UNIVERSITY OF ALABAMA HOSPITAL,010033,AL,2020,07/01/2016,06/30/2018,2.3575,,-0.4375,,-1.0470,,-0.1386,,0.1228,,-0.6404,,01/01/2017,12/31/2018,0.0361,,No,
COMMUNITY HOSPITAL INC,010034,AL,2020,07/01/2016,06/30/2018,-0.2059,,N/A,5,N/A,5,N/A,5,N/A,5,-0.3880,,01/01/2017,12/31/2018,-0.2969,,No,
CULLMAN REGIONAL MEDICAL CENTER,010035,AL,2020,07/01/2016,06/30/2018,0.7107,,-1.0143,,-0.3515,,-0.0005,,-0.8311,,-0.8898,,01/01/2017,12/31/2018,-0.3961,,No,
ANDALUSIA HEALTH,010036,AL,2020,07/01/2016,06/30/2018,-0.5943,,N/A,5,-0.7905,,N/A,5,-1.4453,,-0.1085,,01/01/2017,12/31/2018,-0.7346,,No,
STRINGFELLOW MEMORIAL HOSPITAL,010038,AL,2020,07/01/2016,06/30/2018,0.4479,,2.1941,,-0.6840,,N/A,5,N/A,5,-1.2414,,01/01/2017,12/31/2018,0.1791,,No,
HUNTSVILLE HOSPITAL,010039,AL,2020,07/01/2016,06/30/2018,0.5091,,-0.1530,,-0.0436,,0.2095,,0.5051,,-0.5893,,01/01/2017,12/31/2018,0.0730,,No,
GADSDEN REGIONAL MEDICAL CENTER,010040,AL,2020,07/01/2016,06/30/2018,0.8414,,2.0926,,-0.3230,,-1.5000,,2.2502,,0.8771,,01/01/2017,12/31/2018,0.7064,,Yes,
MARION REGIONAL MEDICAL CENTER,010044,AL,2020,07/01/2016,06/30/2018,-0.0353,,N/A,5,N/A,5,N/A,5,N/A,5,1.9710,,01/01/2017,12/31/2018,0.9678,,Yes,
FAYETTE MEDICAL CENTER,010045,AL,2020,07/01/2016,06/30/2018,-0.2764,,N/A,5,N/A,5,N/A,5,N/A,5,1.6194,,01/01/2017,12/31/2018,0.6715,,Yes,
RIVERVIEW REGIONAL MEDICAL CENTER,010046,AL,2020,07/01/2016,06/30/2018,-1.5258,,-0.6543,,-1.2560,,-1.5000,,-0.0471,,-0.5803,,01/01/2017,12/31/2018,-0.9273,,No,
MEDICAL CENTER ENTERPRISE,010049,AL,2020,07/01/2016,06/30/2018,-1.2955,,N/A,5,0.7222,,0.5982,,N/A,5,-1.5570,,01/01/2017,12/31/2018,-0.3830,,No,
GREENE COUNTY HOSPITAL,010051,AL,2020,07/01/2016,06/30/2018,0.0638,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,01/01/2017,12/31/2018,0.0638,,No,
LAKE MARTIN COMMUNITY HOSPITAL,010052,AL,2020,07/01/2016,06/30/2018,-0.1127,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,01/01/2017,12/31/2018,-0.1127,,No,
FLOWERS HOSPITAL,010055,AL,2020,07/01/2016,06/30/2018,-0.1999,,-0.9805,,-0.4275,,-0.8092,,-0.8382,,-0.1987,,01/01/2017,12/31/2018,-0.5757,,No,
ST VINCENT'S BIRMINGHAM,010056,AL,2020,07/01/2016,06/30/2018,-0.0202,,0.5551,,0.2490,,-0.4592,,0.0272,,-0.6014,,01/01/2017,12/31/2018,-0.0416,,No,
BIBB MEDICAL CENTER,010058,AL,2020,07/01/2016,06/30/2018,0.0272,,N/A,5,N/A,5,N/A,5,N/A,5,0.6067,,01/01/2017,12/31/2018,0.3170,,No,
LAWRENCE MEDICAL CENTER,010059,AL,2020,07/01/2016,06/30/2018,-0.0773,,N/A,5,N/A,5,N/A,5,N/A,5,1.9710,,01/01/2017,12/31/2018,0.9468,,Yes,
HIGHLANDS MEDICAL CENTER,010061,AL,2020,07/01/2016,06/30/2018,1.2763,,2.1941,,2.1854,,N/A,5,N/A,5,0.1259,,01/01/2017,12/31/2018,1.4454,,Yes,
WIREGRASS MEDICAL CENTER,010062,AL,2020,07/01/2016,06/30/2018,-0.6558,,N/A,5,N/A,5,N/A,5,N/A,5,-0.2167,,01/01/2017,12/31/2018,-0.4363,,No,
RUSSELL MEDICAL CENTER,010065,AL,2020,07/01/2016,06/30/2018,-0.2006,,N/A,5,-0.5377,,N/A,5,N/A,5,1.9710,,01/01/2017,12/31/2018,0.4109,,Yes,
MEDICAL CENTER BARBOUR,010069,AL,2020,07/01/2016,06/30/2018,-0.3637,,N/A,5,-1.5354,,N/A,5,N/A,5,1.9710,,01/01/2017,12/31/2018,0.0240,,No,
CLAY COUNTY HOSPITAL,010073,AL,2020,07/01/2016,06/30/2018,-0.0934,,N/A,5,N/A,5,N/A,5,N/A,5,1.9710,,01/01/2017,12/31/2018,0.9388,,Yes,
NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,010078,AL,2020,07/01/2016,06/30/2018,1.0381,,2.1941,,-1.1781,,-1.0045,,2.0431,,-0.7306,,01/01/2017,12/31/2018,0.3937,,Yes,
ATHENS LIMESTONE HOSPITAL,010079,AL,2020,07/01/2016,06/30/2018,0.7478,,-1.4459,,0.5454,,-1.5000,,-0.4028,,-0.0304,,01/01/2017,12/31/2018,-0.3477,,No,
SOUTH BALDWIN REGIONAL MEDICAL CENTER,010083,AL,2020,07/01/2016,06/30/2018,-0.3523,,-1.4459,,-1.2180,,-1.5000,,0.4892,,-1.1062,,01/01/2017,12/31/2018,-0.8555,,No,
DECATUR MORGAN HOSPITAL-DECATUR CAMPUS,010085,AL,2020,07/01/2016,06/30/2018,0.1260,,0.2945,,-0.3078,,-1.2974,,1.4591,,-0.6404,,01/01/2017,12/31/2018,-0.0610,,No,
NORTHWEST MEDICAL CENTER,010086,AL,2020,07/01/2016,06/30/2018,-0.3423,,N/A,5,N/A,5,N/A,5,N/A,5,-1.9626,,01/01/2017,12/31/2018,-1.1525,,No,
UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER,010087,AL,2020,07/01/2016,06/30/2018,-0.5755,,-0.3241,,0.7697,,1.0827,,-0.1497,,1.5653,,01/01/2017,12/31/2018,0.3947,,Yes,
