"Facility ID","Measure ID","Value","Footnote","Start Date","End Date"
010001,MSPB-1,1.010099,,01/01/2018,12/31/2018
010005,MSPB-1,1.012720,,01/01/2018,12/31/2018
010006,MSPB-1,0.984072,,01/01/2018,12/31/2018
010007,MSPB-1,1.097132,,01/01/2018,12/31/2018
010008,MSPB-1,0.992746,,01/01/2018,12/31/2018
010011,MSPB-1,1.040596,,01/01/2018,12/31/2018
010012,MSPB-1,1.021838,,01/01/2018,12/31/2018
010016,MSPB-1,1.022992,,01/01/2018,12/31/2018
010018,MSPB-1,1.022555,,01/01/2018,12/31/2018
010019,MSPB-1,1.046658,,01/01/2018,12/31/2018
010021,MSPB-1,0.977893,,01/01/2018,12/31/2018
010022,MSPB-1,1.076020,,01/01/2018,12/31/2018
010023,MSPB-1,1.043157,,01/01/2018,12/31/2018
010024,MSPB-1,1.047925,,01/01/2018,12/31/2018
010029,MSPB-1,0.938128,,01/01/2018,12/31/2018
010033,MSPB-1,0.981976,,01/01/2018,12/31/2018
010034,MSPB-1,0.899464,,01/01/2018,12/31/2018
010035,MSPB-1,0.999526,,01/01/2018,12/31/2018
010036,MSPB-1,0.961561,,01/01/2018,12/31/2018
010038,MSPB-1,1.002763,,01/01/2018,12/31/2018
010039,MSPB-1,1.008551,,01/01/2018,12/31/2018
010040,MSPB-1,1.058768,,01/01/2018,12/31/2018
010044,MSPB-1,0.867953,,01/01/2018,12/31/2018
010045,MSPB-1,1.033008,,01/01/2018,12/31/2018
010046,MSPB-1,0.966513,,01/01/2018,12/31/2018
010049,MSPB-1,1.022044,,01/01/2018,12/31/2018
010051,MSPB-1,0.905037,,01/01/2018,12/31/2018
010052,MSPB-1,0.907237,,01/01/2018,12/31/2018
010055,MSPB-1,1.018222,,01/01/2018,12/31/2018
010056,MSPB-1,1.041912,,01/01/2018,12/31/2018
010058,MSPB-1,1.035163,,01/01/2018,12/31/2018
010059,MSPB-1,0.855539,,01/01/2018,12/31/2018
010061,MSPB-1,0.942097,,01/01/2018,12/31/2018
010062,MSPB-1,0.993018,,01/01/2018,12/31/2018
010065,MSPB-1,0.948450,,01/01/2018,12/31/2018
010069,MSPB-1,1.049223,,01/01/2018,12/31/2018
010073,MSPB-1,0.915199,,01/01/2018,12/31/2018
010078,MSPB-1,1.052270,,01/01/2018,12/31/2018
010079,MSPB-1,1.008845,,01/01/2018,12/31/2018
010083,MSPB-1,0.988976,,01/01/2018,12/31/2018
010085,MSPB-1,0.999312,,01/01/2018,12/31/2018
010086,MSPB-1,0.996474,,01/01/2018,12/31/2018
010087,MSPB-1,0.996730,,01/01/2018,12/31/2018
010089,MSPB-1,0.998589,,01/01/2018,12/31/2018
010090,MSPB-1,0.988377,,01/01/2018,12/31/2018
010091,MSPB-1,0.854720,,01/01/2018,12/31/2018
010092,MSPB-1,1.002413,,01/01/2018,12/31/2018
010095,MSPB-1,0.941492,,01/01/2018,12/31/2018
010097,MSPB-1,0.924341,,01/01/2018,12/31/2018
010099,MSPB-1,1.042280,,01/01/2018,12/31/2018
010100,MSPB-1,0.973309,,01/01/2018,12/31/2018
010101,MSPB-1,0.978669,,01/01/2018,12/31/2018
010102,MSPB-1,0.931958,,01/01/2018,12/31/2018
010103,MSPB-1,1.000957,,01/01/2018,12/31/2018
010104,MSPB-1,1.018099,,01/01/2018,12/31/2018
010108,MSPB-1,0.979561,,01/01/2018,12/31/2018
010109,MSPB-1,0.956644,,01/01/2018,12/31/2018
010110,MSPB-1,1.265966,,01/01/2018,12/31/2018
010112,MSPB-1,1.045368,,01/01/2018,12/31/2018
010113,MSPB-1,1.005233,,01/01/2018,12/31/2018
010114,MSPB-1,1.015295,,01/01/2018,12/31/2018
010118,MSPB-1,0.987971,,01/01/2018,12/31/2018
010120,MSPB-1,1.068276,,01/01/2018,12/31/2018
010125,MSPB-1,0.896531,,01/01/2018,12/31/2018
010126,MSPB-1,0.917763,,01/01/2018,12/31/2018
010128,MSPB-1,1.032325,,01/01/2018,12/31/2018
010129,MSPB-1,0.969364,,01/01/2018,12/31/2018
010130,MSPB-1,0.953645,,01/01/2018,12/31/2018
010131,MSPB-1,0.973034,,01/01/2018,12/31/2018
