"State","Measure ID","Measure Name","Score","Footnote","Start Date","End Date"
AK,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,0.477,,07/01/2018,06/30/2019
AK,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,1.209,,07/01/2018,06/30/2019
AK,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),0.780,,07/01/2018,06/30/2019
AK,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,1.182,,07/01/2018,06/30/2019
AK,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,2.344,,07/01/2018,06/30/2019
AK,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),1.689,,07/01/2018,06/30/2019
AK,HAI_3_CILOWER,SSI - Colon Surgery: Lower Confidence Limit,1.110,,07/01/2018,06/30/2019
AK,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,2.278,,07/01/2018,06/30/2019
AK,HAI_3_SIR,SSI - Colon Surgery,1.616,,07/01/2018,06/30/2019
AK,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,0.010,,07/01/2018,06/30/2019
AK,HAI_4_CIUPPER,SSI - Abdominal Hysterectomy: Upper Confidence Limit,1.022,,07/01/2018,06/30/2019
AK,HAI_4_SIR,SSI - Abdominal Hysterectomy,0.207,,07/01/2018,06/30/2019
AK,HAI_5_CILOWER,MRSA Bacteremia: Lower Confidence Limit,0.758,,07/01/2018,06/30/2019
AK,HAI_5_CIUPPER,MRSA Bacteremia: Upper Confidence Limit,1.874,,07/01/2018,06/30/2019
AK,HAI_5_SIR,MRSA Bacteremia,1.223,,07/01/2018,06/30/2019
AK,HAI_6_CILOWER,Clostridium Difficile (C.Diff): Lower Confidence Limit,0.673,,07/01/2018,06/30/2019
AK,HAI_6_CIUPPER,Clostridium Difficile (C.Diff): Upper Confidence Limit,0.972,,07/01/2018,06/30/2019
AK,HAI_6_SIR,Clostridium Difficile (C.Diff),0.812,,07/01/2018,06/30/2019
AL,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,0.656,,07/01/2018,06/30/2019
AL,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,0.847,,07/01/2018,06/30/2019
