"State","Measure ID","Measure Name","Score","Footnote","Start Date","End Date"
AK,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.91,14,01/01/2018,12/31/2018
AL,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.99,,01/01/2018,12/31/2018
AR,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.00,,01/01/2018,12/31/2018
AS,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),Not Available,9,01/01/2018,12/31/2018
AZ,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.95,,01/01/2018,12/31/2018
CA,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.99,,01/01/2018,12/31/2018
CO,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.97,,01/01/2018,12/31/2018
CT,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.02,,01/01/2018,12/31/2018
DC,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.01,14,01/01/2018,12/31/2018
DE,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.01,14,01/01/2018,12/31/2018
FL,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.03,,01/01/2018,12/31/2018
GA,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.96,,01/01/2018,12/31/2018
GU,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),Not Available,9,01/01/2018,12/31/2018
HI,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.91,,01/01/2018,12/31/2018
IA,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.93,,01/01/2018,12/31/2018
ID,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.93,,01/01/2018,12/31/2018
IL,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.01,,01/01/2018,12/31/2018
IN,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.99,,01/01/2018,12/31/2018
KS,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.95,,01/01/2018,12/31/2018
KY,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.98,,01/01/2018,12/31/2018
LA,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.04,,01/01/2018,12/31/2018
MA,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.99,,01/01/2018,12/31/2018
MD,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),Not Available,9,01/01/2018,12/31/2018
ME,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.95,,01/01/2018,12/31/2018
MI,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.95,,01/01/2018,12/31/2018
MN,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.91,,01/01/2018,12/31/2018
MO,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.95,,01/01/2018,12/31/2018
MP,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),Not Available,9,01/01/2018,12/31/2018
MS,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.00,,01/01/2018,12/31/2018
MT,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.89,,01/01/2018,12/31/2018
NC,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.95,,01/01/2018,12/31/2018
ND,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.91,14,01/01/2018,12/31/2018
NE,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.97,,01/01/2018,12/31/2018
NH,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),0.98,14,01/01/2018,12/31/2018
NJ,MSPB-1,Medicare hospital spending per patient (Medicare Spending per Beneficiary),1.06,,01/01/2018,12/31/2018
