"State","Measure ID","Measure Name","Score","Footnote","Start Date","End Date"
AK,OP_10,Abdomen CT Use of Contrast Material,5.3,,07/01/2017,06/30/2018
AK,OP_11,Thorax CT Use of Contrast Material,0.8,,07/01/2017,06/30/2018
AK,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,4,,07/01/2017,06/30/2018
AK,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,1.1,,07/01/2017,06/30/2018
AK,OP_8,MRI Lumbar Spine for Low Back Pain,43.7,,07/01/2017,06/30/2018
AK,OP_9,Mammography Follow-up Rates,7,,07/01/2017,06/30/2018
AL,OP_10,Abdomen CT Use of Contrast Material,11.2,,07/01/2017,06/30/2018
AL,OP_11,Thorax CT Use of Contrast Material,2.1,,07/01/2017,06/30/2018
AL,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,5.4,,07/01/2017,06/30/2018
AL,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,1.5,,07/01/2017,06/30/2018
AL,OP_8,MRI Lumbar Spine for Low Back Pain,42,,07/01/2017,06/30/2018
AL,OP_9,Mammography Follow-up Rates,7.1,,07/01/2017,06/30/2018
AR,OP_10,Abdomen CT Use of Contrast Material,8.1,,07/01/2017,06/30/2018
AR,OP_11,Thorax CT Use of Contrast Material,2.2,,07/01/2017,06/30/2018
AR,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,4.2,,07/01/2017,06/30/2018
AR,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,1.1,,07/01/2017,06/30/2018
AR,OP_8,MRI Lumbar Spine for Low Back Pain,41.7,,07/01/2017,06/30/2018
AR,OP_9,Mammography Follow-up Rates,9,,07/01/2017,06/30/2018
AS,OP_10,Abdomen CT Use of Contrast Material,Not Available,5,07/01/2017,06/30/2018
AS,OP_11,Thorax CT Use of Contrast Material,Not Available,5,07/01/2017,06/30/2018
AS,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,Not Available,5,07/01/2017,06/30/2018
AS,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,Not Available,5,07/01/2017,06/30/2018
AS,OP_8,MRI Lumbar Spine for Low Back Pain,Not Available,5,07/01/2017,06/30/2018
AS,OP_9,Mammography Follow-up Rates,Not Available,5,07/01/2017,06/30/2018
AZ,OP_10,Abdomen CT Use of Contrast Material,6.2,,07/01/2017,06/30/2018
AZ,OP_11,Thorax CT Use of Contrast Material,2.6,,07/01/2017,06/30/2018
AZ,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,4.5,,07/01/2017,06/30/2018
AZ,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,1.3,,07/01/2017,06/30/2018
AZ,OP_8,MRI Lumbar Spine for Low Back Pain,40.4,,07/01/2017,06/30/2018
AZ,OP_9,Mammography Follow-up Rates,7.3,,07/01/2017,06/30/2018
CA,OP_10,Abdomen CT Use of Contrast Material,8.4,,07/01/2017,06/30/2018
CA,OP_11,Thorax CT Use of Contrast Material,1.8,,07/01/2017,06/30/2018
CA,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,4.6,,07/01/2017,06/30/2018
CA,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,1,,07/01/2017,06/30/2018
CA,OP_8,MRI Lumbar Spine for Low Back Pain,39.5,,07/01/2017,06/30/2018
CA,OP_9,Mammography Follow-up Rates,8.8,,07/01/2017,06/30/2018
CO,OP_10,Abdomen CT Use of Contrast Material,6.4,,07/01/2017,06/30/2018
CO,OP_11,Thorax CT Use of Contrast Material,1.4,,07/01/2017,06/30/2018
CO,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,4.7,,07/01/2017,06/30/2018
CO,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,1.2,,07/01/2017,06/30/2018
CO,OP_8,MRI Lumbar Spine for Low Back Pain,39.6,,07/01/2017,06/30/2018
CO,OP_9,Mammography Follow-up Rates,8.6,,07/01/2017,06/30/2018
CT,OP_10,Abdomen CT Use of Contrast Material,4.8,,07/01/2017,06/30/2018
CT,OP_11,Thorax CT Use of Contrast Material,0.2,,07/01/2017,06/30/2018
CT,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,4.8,,07/01/2017,06/30/2018
CT,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,1,,07/01/2017,06/30/2018
CT,OP_8,MRI Lumbar Spine for Low Back Pain,35.1,,07/01/2017,06/30/2018
CT,OP_9,Mammography Follow-up Rates,24.4,,07/01/2017,06/30/2018
DC,OP_10,Abdomen CT Use of Contrast Material,4.3,,07/01/2017,06/30/2018
DC,OP_11,Thorax CT Use of Contrast Material,0.5,,07/01/2017,06/30/2018
DC,OP_13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,5.6,,07/01/2017,06/30/2018
DC,OP_14,Outpatients with brain CT scans who got a sinus CT scan at the same time,2.1,,07/01/2017,06/30/2018
