"State","Condition","Measure ID","Measure Name","Score","Footnote","Start Date","End Date"
AK,Emergency Department,ED_2b,"Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better",122,"25, 26",07/01/2018,06/30/2019
AK,Emergency Department,ED_2b_HIGH_MIN,"Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (high)",Not Available,"25, 26",07/01/2018,06/30/2019
AK,Emergency Department,ED_2b_LOW_MIN,"Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)",102,"25, 26",07/01/2018,06/30/2019
AK,Emergency Department,ED_2b_MEDIUM_MIN,"Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)",114,"25, 26",07/01/2018,06/30/2019
AK,Emergency Department,ED_2b_VERY_HIGH_MIN,"Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (high)",228,"25, 26",07/01/2018,06/30/2019
AK,Preventive Care,IMM_3,Healthcare workers given influenza vaccination Higher percentages are better,82,,10/01/2018,03/31/2019
AK,Emergency Department,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,125,"25, 26",07/01/2018,06/30/2019
AK,Emergency Department,OP_18b_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),Not Available,"25, 26",07/01/2018,06/30/2019
AK,Emergency Department,OP_18b_LOW_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (low),134,"25, 26",07/01/2018,06/30/2019
AK,Emergency Department,OP_18b_MEDIUM_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (moderate),121,"25, 26",07/01/2018,06/30/2019
AK,Emergency Department,OP_18b_VERY_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),130,"25, 26",07/01/2018,06/30/2019
AK,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit- Psychiatric/Mental Health Patients.  A lower number of minutes is better,182,25,07/01/2018,06/30/2019
AK,Emergency Department,OP_18c_HIGH_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (high),Not Available,25,07/01/2018,06/30/2019
AK,Emergency Department,OP_18c_LOW_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (low),183,25,07/01/2018,06/30/2019
AK,Emergency Department,OP_18c_MEDIUM_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (moderate),237,25,07/01/2018,06/30/2019
AK,Emergency Department,OP_18c_VERY_HIGH_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (very high),158,25,07/01/2018,06/30/2019
AK,Heart Attack or Chest Pain,OP_2,Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better,67,"25, 26",07/01/2018,06/30/2019
AK,Emergency Department,OP_22,Percentage of patients who left the emergency department before being seen Lower percentages are better,1,,01/01/2018,12/31/2018
AK,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes of arrival Higher percentages are better,60,25,07/01/2018,06/30/2019
AK,Colonoscopy care,OP_29,Percentage of patients receiving appropriate recommendation for follow-up screening colonoscopy Higher percentages are better,89,26,01/01/2018,12/31/2018
AK,Colonoscopy care,OP_30,Percentage of patients with history of polyps receiving follow-up colonoscopy in the appropriate timeframe Higher percentages are better,91,26,01/01/2018,12/31/2018
AK,Cataract surgery outcome,OP_31,Percentage of patients who had cataract surgery and had improvement in visual function within 90 days following the surgery Higher percentages are better,Not Available,5,01/01/2018,12/31/2018
AK,Cancer care,OP_33,Percentage of patients receiving appropriate radiation therapy for cancer that has spread to the bone Higher percentages are better,78,26,01/01/2018,12/31/2018
AK,Heart Attack or Chest Pain,OP_3b,Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better,160,"25, 26",07/01/2018,06/30/2019
AK,Pregnancy and Delivery Care,PC_01,"Percent of mothers whose deliveries were scheduled too early (1-2 weeks early), when a scheduled delivery was not medically necessaryLower percentages are better",2,26,07/01/2018,06/30/2019
AK,Sepsis Care,SEP_1,Percentage of patients who received appropriate care for severe sepsis and septic shock. Higher percentages are better,55,,07/01/2018,06/30/2019
AK,Sepsis Care,SEP_SH_3HR,Septic Shock 3-Hour Bundle,84,,01/01/2019,06/30/2019
AK,Sepsis Care,SEP_SH_6HR,Septic Shock 6-Hour Bundle,68,,01/01/2019,06/30/2019
AK,Sepsis Care,SEV_SEP_3HR,Severe Sepsis 3-Hour Bundle,75,,01/01/2019,06/30/2019
AK,Sepsis Care,SEV_SEP_6HR,Severe Sepsis 6-Hour Bundle,87,,01/01/2019,06/30/2019
AL,Emergency Department,ED_2b,"Average (median) time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better",79,"25, 26",07/01/2018,06/30/2019
AL,Emergency Department,ED_2b_HIGH_MIN,"Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (high)",110,"25, 26",07/01/2018,06/30/2019
AL,Emergency Department,ED_2b_LOW_MIN,"Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (low)",62,"25, 26",07/01/2018,06/30/2019
AL,Emergency Department,ED_2b_MEDIUM_MIN,"Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (moderate)",68,"25, 26",07/01/2018,06/30/2019
AL,Emergency Department,ED_2b_VERY_HIGH_MIN,"Average time patients spent in the emergency department, after the doctor decided to admit them as an inpatient before leaving the emergency department for their inpatient room A lower number of minutes is better (high)",94,"25, 26",07/01/2018,06/30/2019
AL,Preventive Care,IMM_3,Healthcare workers given influenza vaccination Higher percentages are better,88,,10/01/2018,03/31/2019
AL,Emergency Department,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,127,"25, 26",07/01/2018,06/30/2019
AL,Emergency Department,OP_18b_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),148,"25, 26",07/01/2018,06/30/2019
AL,Emergency Department,OP_18b_LOW_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (low),112,"25, 26",07/01/2018,06/30/2019
AL,Emergency Department,OP_18b_MEDIUM_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (moderate),131,"25, 26",07/01/2018,06/30/2019
AL,Emergency Department,OP_18b_VERY_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),139,"25, 26",07/01/2018,06/30/2019
AL,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit- Psychiatric/Mental Health Patients.  A lower number of minutes is better,206,25,07/01/2018,06/30/2019
AL,Emergency Department,OP_18c_HIGH_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (high),243,25,07/01/2018,06/30/2019
AL,Emergency Department,OP_18c_LOW_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (low),160,25,07/01/2018,06/30/2019
AL,Emergency Department,OP_18c_MEDIUM_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (moderate),204,25,07/01/2018,06/30/2019
AL,Emergency Department,OP_18c_VERY_HIGH_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (very high),232,25,07/01/2018,06/30/2019
AL,Heart Attack or Chest Pain,OP_2,Outpatients with chest pain or possible heart attack who got drugs to break up blood clots within 30 minutes of arrival Higher percentages are better,60,"25, 26",07/01/2018,06/30/2019
AL,Emergency Department,OP_22,Percentage of patients who left the emergency department before being seen Lower percentages are better,2,,01/01/2018,12/31/2018
AL,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes of arrival Higher percentages are better,66,25,07/01/2018,06/30/2019
AL,Colonoscopy care,OP_29,Percentage of patients receiving appropriate recommendation for follow-up screening colonoscopy Higher percentages are better,92,26,01/01/2018,12/31/2018
AL,Colonoscopy care,OP_30,Percentage of patients with history of polyps receiving follow-up colonoscopy in the appropriate timeframe Higher percentages are better,93,26,01/01/2018,12/31/2018
AL,Cataract surgery outcome,OP_31,Percentage of patients who had cataract surgery and had improvement in visual function within 90 days following the surgery Higher percentages are better,100,,01/01/2018,12/31/2018
AL,Cancer care,OP_33,Percentage of patients receiving appropriate radiation therapy for cancer that has spread to the bone Higher percentages are better,90,26,01/01/2018,12/31/2018
AL,Heart Attack or Chest Pain,OP_3b,Average (median) number of minutes before outpatients with chest pain or possible heart attack who needed specialized care were transferred to another hospital A lower number of minutes is better,60,"25, 26",07/01/2018,06/30/2019
