"Measure ID","Measure Name","National Rate","Number of Hospitals Worse","Number of Hospitals Same","Number of Hospitals Better","Number of Hospitals Too Few","Footnote","Start Date","End Date","Number of Hospitals Fewer","Number of Hospitals Average","Number of Hospitals More","Number of Hospitals Too Small"
EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2015,06/30/2018,254,1375,482,1916
EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2015,06/30/2018,446,2420,777,891
EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2015,06/30/2018,602,2495,1029,471
OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",16.4,9,3564,10,451,,01/01/2016,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,12.5,69,1467,23,1888,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,6,22,1511,26,1888,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,Not Available,155,2665,162,993,5,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,15.7,27,2153,17,1953,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
READM_30_CABG,Rate of readmission for CABG,12.8,10,987,10,170,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,19.5,53,3592,15,882,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,21.6,163,3487,120,895,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,4,40,2714,44,632,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),15.3,237,4045,199,192,,07/01/2017,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,16.6,157,4053,44,473,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
