"Facility ID","Facility Name","Address","City","State","ZIP Code","County Name","Phone Number","Measure ID","Measure Name","Denominator","Observed Rate Per 1,000","Footnote","Start Date","End Date"
01014F,BIRMINGHAM VA MEDICAL CENTER,700 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,(205) 933-4515,PSI-10,Postoperative Acute Kidney Injury Requiring Dialysis Rate,1595,0.63,20,07/01/2016,06/30/2018
01014F,BIRMINGHAM VA MEDICAL CENTER,700 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,(205) 933-4515,PSI-11,Postoperative Respiratory Failure Rate,1333,7.5,20,07/01/2016,06/30/2018
01014F,BIRMINGHAM VA MEDICAL CENTER,700 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,(205) 933-4515,PSI-12,Perioperative Pulmonary Embolism (PE) or Deep Vein Thrombosis (DVT) Rate,2471,1.62,20,07/01/2016,06/30/2018
01014F,BIRMINGHAM VA MEDICAL CENTER,700 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,(205) 933-4515,PSI-13,Postoperative Sepsis Rate,1602,4.37,20,07/01/2016,06/30/2018
01014F,BIRMINGHAM VA MEDICAL CENTER,700 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,(205) 933-4515,PSI-14,Postoperative Wound Dehiscence Rate,628,0,20,07/01/2016,06/30/2018
01014F,BIRMINGHAM VA MEDICAL CENTER,700 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,(205) 933-4515,PSI-15,Unrecognized Abdominopelvic Accidental Puncture/Laceration Rate,1647,0.61,20,07/01/2016,06/30/2018
01014F,BIRMINGHAM VA MEDICAL CENTER,700 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,(205) 933-4515,PSI-3,Pressure Ulcer Rate,5796,0.52,20,07/01/2016,06/30/2018
01014F,BIRMINGHAM VA MEDICAL CENTER,700 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,(205) 933-4515,PSI-4,Death among surgical inpatients with serious treatable complications Rate,81,86.42,20,07/01/2016,06/30/2018
01014F,BIRMINGHAM VA MEDICAL CENTER,700 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,(205) 933-4515,PSI-6,"Iatrogenic pneumothorax, adult Rate",9983,0.3,20,07/01/2016,06/30/2018
01014F,BIRMINGHAM VA MEDICAL CENTER,700 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,(205) 933-4515,PSI-7,Central Venous Catheter-Related Bloodstream Infections Rate,5404,0.37,20,07/01/2016,06/30/2018
01014F,BIRMINGHAM VA MEDICAL CENTER,700 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,(205) 933-4515,PSI-8,In-Hospital Fall With Hip Fracture Rate,8975,0.11,20,07/01/2016,06/30/2018
01014F,BIRMINGHAM VA MEDICAL CENTER,700 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,(205) 933-4515,PSI-9,Perioperative Hemorrhage or Hematoma Rate,2375,3.79,20,07/01/2016,06/30/2018
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY,215 PERRY HILL ROAD,MONTGOMERY,AL,36109,MONTGOMERY,(334) 260-4100,PSI-10,Postoperative Acute Kidney Injury Requiring Dialysis Rate,Not Available,Not Available,"1, 20",07/01/2016,06/30/2018
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY,215 PERRY HILL ROAD,MONTGOMERY,AL,36109,MONTGOMERY,(334) 260-4100,PSI-11,Postoperative Respiratory Failure Rate,Not Available,Not Available,"1, 20",07/01/2016,06/30/2018
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY,215 PERRY HILL ROAD,MONTGOMERY,AL,36109,MONTGOMERY,(334) 260-4100,PSI-12,Perioperative Pulmonary Embolism (PE) or Deep Vein Thrombosis (DVT) Rate,36,0,20,07/01/2016,06/30/2018
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY,215 PERRY HILL ROAD,MONTGOMERY,AL,36109,MONTGOMERY,(334) 260-4100,PSI-13,Postoperative Sepsis Rate,Not Available,Not Available,"1, 20",07/01/2016,06/30/2018
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY,215 PERRY HILL ROAD,MONTGOMERY,AL,36109,MONTGOMERY,(334) 260-4100,PSI-14,Postoperative Wound Dehiscence Rate,Not Available,Not Available,"1, 20",07/01/2016,06/30/2018
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY,215 PERRY HILL ROAD,MONTGOMERY,AL,36109,MONTGOMERY,(334) 260-4100,PSI-15,Unrecognized Abdominopelvic Accidental Puncture/Laceration Rate,54,0,20,07/01/2016,06/30/2018
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY,215 PERRY HILL ROAD,MONTGOMERY,AL,36109,MONTGOMERY,(334) 260-4100,PSI-3,Pressure Ulcer Rate,1199,0.83,20,07/01/2016,06/30/2018
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY,215 PERRY HILL ROAD,MONTGOMERY,AL,36109,MONTGOMERY,(334) 260-4100,PSI-4,Death among surgical inpatients with serious treatable complications Rate,Not Available,Not Available,"1, 20",07/01/2016,06/30/2018
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY,215 PERRY HILL ROAD,MONTGOMERY,AL,36109,MONTGOMERY,(334) 260-4100,PSI-6,"Iatrogenic pneumothorax, adult Rate",1770,0,20,07/01/2016,06/30/2018
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY,215 PERRY HILL ROAD,MONTGOMERY,AL,36109,MONTGOMERY,(334) 260-4100,PSI-7,Central Venous Catheter-Related Bloodstream Infections Rate,1189,0.84,20,07/01/2016,06/30/2018
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY,215 PERRY HILL ROAD,MONTGOMERY,AL,36109,MONTGOMERY,(334) 260-4100,PSI-8,In-Hospital Fall With Hip Fracture Rate,1601,0,20,07/01/2016,06/30/2018
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY,215 PERRY HILL ROAD,MONTGOMERY,AL,36109,MONTGOMERY,(334) 260-4100,PSI-9,Perioperative Hemorrhage or Hematoma Rate,35,0,20,07/01/2016,06/30/2018
01021F,TUSCALOOSA VA MEDICAL CENTER,3701 LOOP ROAD EAST,TUSCALOOSA,AL,35404,TUSCALOOSA,(205) 554-2000,PSI-10,Postoperative Acute Kidney Injury Requiring Dialysis Rate,Not Available,Not Available,"5, 20",07/01/2016,06/30/2018
01021F,TUSCALOOSA VA MEDICAL CENTER,3701 LOOP ROAD EAST,TUSCALOOSA,AL,35404,TUSCALOOSA,(205) 554-2000,PSI-11,Postoperative Respiratory Failure Rate,Not Available,Not Available,"5, 20",07/01/2016,06/30/2018
01021F,TUSCALOOSA VA MEDICAL CENTER,3701 LOOP ROAD EAST,TUSCALOOSA,AL,35404,TUSCALOOSA,(205) 554-2000,PSI-12,Perioperative Pulmonary Embolism (PE) or Deep Vein Thrombosis (DVT) Rate,Not Available,Not Available,"5, 20",07/01/2016,06/30/2018
01021F,TUSCALOOSA VA MEDICAL CENTER,3701 LOOP ROAD EAST,TUSCALOOSA,AL,35404,TUSCALOOSA,(205) 554-2000,PSI-13,Postoperative Sepsis Rate,Not Available,Not Available,"5, 20",07/01/2016,06/30/2018
01021F,TUSCALOOSA VA MEDICAL CENTER,3701 LOOP ROAD EAST,TUSCALOOSA,AL,35404,TUSCALOOSA,(205) 554-2000,PSI-14,Postoperative Wound Dehiscence Rate,Not Available,Not Available,"5, 20",07/01/2016,06/30/2018
01021F,TUSCALOOSA VA MEDICAL CENTER,3701 LOOP ROAD EAST,TUSCALOOSA,AL,35404,TUSCALOOSA,(205) 554-2000,PSI-15,Unrecognized Abdominopelvic Accidental Puncture/Laceration Rate,Not Available,Not Available,"5, 20",07/01/2016,06/30/2018
01021F,TUSCALOOSA VA MEDICAL CENTER,3701 LOOP ROAD EAST,TUSCALOOSA,AL,35404,TUSCALOOSA,(205) 554-2000,PSI-3,Pressure Ulcer Rate,Not Available,Not Available,"5, 20",07/01/2016,06/30/2018
01021F,TUSCALOOSA VA MEDICAL CENTER,3701 LOOP ROAD EAST,TUSCALOOSA,AL,35404,TUSCALOOSA,(205) 554-2000,PSI-4,Death among surgical inpatients with serious treatable complications Rate,Not Available,Not Available,"5, 20",07/01/2016,06/30/2018
01021F,TUSCALOOSA VA MEDICAL CENTER,3701 LOOP ROAD EAST,TUSCALOOSA,AL,35404,TUSCALOOSA,(205) 554-2000,PSI-6,"Iatrogenic pneumothorax, adult Rate",Not Available,Not Available,"5, 20",07/01/2016,06/30/2018
01021F,TUSCALOOSA VA MEDICAL CENTER,3701 LOOP ROAD EAST,TUSCALOOSA,AL,35404,TUSCALOOSA,(205) 554-2000,PSI-7,Central Venous Catheter-Related Bloodstream Infections Rate,Not Available,Not Available,"5, 20",07/01/2016,06/30/2018
01021F,TUSCALOOSA VA MEDICAL CENTER,3701 LOOP ROAD EAST,TUSCALOOSA,AL,35404,TUSCALOOSA,(205) 554-2000,PSI-8,In-Hospital Fall With Hip Fracture Rate,Not Available,Not Available,"5, 20",07/01/2016,06/30/2018
01021F,TUSCALOOSA VA MEDICAL CENTER,3701 LOOP ROAD EAST,TUSCALOOSA,AL,35404,TUSCALOOSA,(205) 554-2000,PSI-9,Perioperative Hemorrhage or Hematoma Rate,Not Available,Not Available,"5, 20",07/01/2016,06/30/2018
03012F,PHOENIX VA MEDICAL CENTER,650 E. INDIAN SCHOOL ROAD,PHOENIX,AZ,85012,MARICOPA,(602) 222-6444,PSI-10,Postoperative Acute Kidney Injury Requiring Dialysis Rate,1145,0,20,07/01/2016,06/30/2018
03012F,PHOENIX VA MEDICAL CENTER,650 E. INDIAN SCHOOL ROAD,PHOENIX,AZ,85012,MARICOPA,(602) 222-6444,PSI-11,Postoperative Respiratory Failure Rate,995,5.03,20,07/01/2016,06/30/2018
03012F,PHOENIX VA MEDICAL CENTER,650 E. INDIAN SCHOOL ROAD,PHOENIX,AZ,85012,MARICOPA,(602) 222-6444,PSI-12,Perioperative Pulmonary Embolism (PE) or Deep Vein Thrombosis (DVT) Rate,2031,4.43,20,07/01/2016,06/30/2018
03012F,PHOENIX VA MEDICAL CENTER,650 E. INDIAN SCHOOL ROAD,PHOENIX,AZ,85012,MARICOPA,(602) 222-6444,PSI-13,Postoperative Sepsis Rate,1045,0,20,07/01/2016,06/30/2018
03012F,PHOENIX VA MEDICAL CENTER,650 E. INDIAN SCHOOL ROAD,PHOENIX,AZ,85012,MARICOPA,(602) 222-6444,PSI-14,Postoperative Wound Dehiscence Rate,766,1.31,20,07/01/2016,06/30/2018
03012F,PHOENIX VA MEDICAL CENTER,650 E. INDIAN SCHOOL ROAD,PHOENIX,AZ,85012,MARICOPA,(602) 222-6444,PSI-15,Unrecognized Abdominopelvic Accidental Puncture/Laceration Rate,1763,0,20,07/01/2016,06/30/2018
