"Facility ID","Facility Name","Address","City","State","ZIP Code","County Name","Phone Number","Condition","Measure ID","Measure Name","STTag","Score","Sample","Footnote","Start Date","End Date"
01014F,BIRMINGHAM VA MEDICAL CENTER,700 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,(205) 933-4515,Emergency Department,ED-2b,Admit Decision Time to ED Departure Time for Admitted Patients,Minutes,112,484,,07/01/2018,06/30/2019
01014F,BIRMINGHAM VA MEDICAL CENTER,700 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,(205) 933-4515,Preventive Care,IMM-3,Healthcare workers given influenza vaccination,Percentage,70,3049,,10/01/2018,03/31/2019
01014F,BIRMINGHAM VA MEDICAL CENTER,700 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,(205) 933-4515,Emergency Department,OP-18b,Median time from ED arrival to ED departure for discharged ED patients,Minutes,206,38,,07/01/2018,06/30/2019
01014F,BIRMINGHAM VA MEDICAL CENTER,700 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,(205) 933-4515,Emergency Department,OP-18c,Average time patients spent in the emergency department before being sent home,Minutes,Not Available,Not Available,1,07/01/2018,06/30/2019
01014F,BIRMINGHAM VA MEDICAL CENTER,700 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,(205) 933-4515,Heart Attack or Chest Pain,OP-2,Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival,Percentage,Not Available,Not Available,5,07/01/2018,06/30/2019
01014F,BIRMINGHAM VA MEDICAL CENTER,700 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,(205) 933-4515,Emergency Department,OP-23,Head CT results,Percentage,Not Available,Not Available,5,07/01/2018,06/30/2019
01014F,BIRMINGHAM VA MEDICAL CENTER,700 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,(205) 933-4515,Heart Attack or Chest Pain,OP-3b,Median Time to Transfer to Another Facility for Acute Coronary Intervention,Minutes,Not Available,Not Available,1,07/01/2018,06/30/2019
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY,215 PERRY HILL ROAD,MONTGOMERY,AL,36109,MONTGOMERY,(334) 260-4100,Emergency Department,ED-2b,Admit Decision Time to ED Departure Time for Admitted Patients,Minutes,170,266,,07/01/2018,06/30/2019
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY,215 PERRY HILL ROAD,MONTGOMERY,AL,36109,MONTGOMERY,(334) 260-4100,Preventive Care,IMM-3,Healthcare workers given influenza vaccination,Percentage,34,1943,,10/01/2018,03/31/2019
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY,215 PERRY HILL ROAD,MONTGOMERY,AL,36109,MONTGOMERY,(334) 260-4100,Emergency Department,OP-18b,Median time from ED arrival to ED departure for discharged ED patients,Minutes,Not Available,Not Available,5,07/01/2018,06/30/2019
