Facility ID,Facility Name,Address,City,State,ZIP Code,County Name,MORT-30-AMI Achievement Threshold,MORT-30-AMI Benchmark,MORT-30-AMI Baseline Rate,MORT-30-AMI Performance Rate,MORT-30-AMI Achievement Points,MORT-30-AMI Improvement Points,MORT-30-AMI Measure Score,MORT-30-HF Achievement Threshold,MORT-30-HF Benchmark,MORT-30-HF Baseline Rate,MORT-30-HF Performance Rate,MORT-30-HF Achievement Points,MORT-30-HF Improvement Points,MORT-30-HF Measure Score,MORT-30-PN Achievement Threshold,MORT-30-PN Benchmark,MORT-30-PN Baseline Rate,MORT-30-PN Performance Rate,MORT-30-PN Achievement Points,MORT-30-PN Improvement Points,MORT-30-PN Measure Score,COMP-HIP-KNEE Achievement Threshold,COMP-HIP-KNEE Benchmark,COMP-HIP-KNEE Baseline Rate,COMP-HIP-KNEE Performance Rate,COMP-HIP-KNEE Achievement Points,COMP-HIP-KNEE Improvement Points,COMP-HIP-KNEE Measure Score
010001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,Houston,0.853715,0.875869,0.871689,0.870378,7 out of 10,0 out of 9,7 out of 10,0.881090,0.906068,0.871343,0.867977,0 out of 10,0 out of 9,0 out of 10,0.882266,0.909532,0.884296,0.886063,2 out of 10,0 out of 9,2 out of 10,0.032229,0.023178,0.041251,0.031504,1 out of 10,5 out of 9,5 out of 10
010005,MARSHALL MEDICAL CENTERS SOUTH CAMPUS,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,Marshall,0.853715,0.875869,0.822167,0.853902,1 out of 10,5 out of 9,5 out of 10,0.881090,0.906068,0.833288,0.841487,0 out of 10,1 out of 9,1 out of 10,0.882266,0.909532,0.855960,0.864196,0 out of 10,1 out of 9,1 out of 10,0.032229,0.023178,0.028789,0.023531,9 out of 10,9 out of 9,9 out of 10
010006,NORTH ALABAMA MEDICAL CENTER,1701 VETERANS DRIVE,FLORENCE,AL,35630,Lauderdale,0.853715,0.875869,0.820365,0.848032,0 out of 10,4 out of 9,4 out of 10,0.881090,0.906068,0.857662,0.875703,0 out of 10,3 out of 9,3 out of 10,0.882266,0.909532,0.846600,0.878730,0 out of 10,5 out of 9,5 out of 10,0.032229,0.023178,0.031452,0.024903,8 out of 10,7 out of 9,8 out of 10
010007,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,AL,36467,Covington,0.853715,0.875869,Not Available,Not Available,Not Available,Not Available,Not Available,0.881090,0.906068,0.863682,0.860561,0 out of 10,0 out of 9,0 out of 10,0.882266,0.909532,0.831253,0.847365,0 out of 10,2 out of 9,2 out of 10,0.032229,0.023178,Not Available,0.027447,5 out of 10,Not Available,5 out of 10
010011,ST VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,Jefferson,0.853715,0.875869,0.839456,0.853761,1 out of 10,3 out of 9,3 out of 10,0.881090,0.906068,0.874492,0.891471,4 out of 10,5 out of 9,5 out of 10,0.882266,0.909532,0.831062,0.877883,0 out of 10,5 out of 9,5 out of 10,0.032229,0.023178,0.031780,0.026811,6 out of 10,5 out of 9,6 out of 10
010012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,AL,35968,DeKalb,0.853715,0.875869,0.812106,0.842805,0 out of 10,4 out of 9,4 out of 10,0.881090,0.906068,0.868829,0.840662,0 out of 10,0 out of 9,0 out of 10,0.882266,0.909532,0.802513,0.868491,0 out of 10,6 out of 9,6 out of 10,0.032229,0.023178,0.032224,Not Available,Not Available,Not Available,Not Available
010016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,AL,35007,Shelby,0.853715,0.875869,0.874485,0.857250,2 out of 10,0 out of 9,2 out of 10,0.881090,0.906068,0.856391,0.867700,0 out of 10,2 out of 9,2 out of 10,0.882266,0.909532,0.862317,0.919080,10 out of 10,9 out of 9,10 out of 10,0.032229,0.023178,0.035432,0.023355,9 out of 10,9 out of 9,9 out of 10
010019,HELEN KELLER MEMORIAL HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,AL,35660,Colbert,0.853715,0.875869,0.843331,0.858990,3 out of 10,4 out of 9,4 out of 10,0.881090,0.906068,0.868086,0.857788,0 out of 10,0 out of 9,0 out of 10,0.882266,0.909532,0.865528,0.903646,8 out of 10,8 out of 9,8 out of 10,0.032229,0.023178,0.023892,0.019932,10 out of 10,9 out of 9,10 out of 10
010021,DALE MEDICAL CENTER,126 HOSPITAL AVE,OZARK,AL,36360,Dale,0.853715,0.875869,Not Available,Not Available,Not Available,Not Available,Not Available,0.881090,0.906068,0.889437,0.882304,1 out of 10,0 out of 9,1 out of 10,0.882266,0.909532,0.890006,0.901337,7 out of 10,5 out of 9,7 out of 10,0.032229,0.023178,0.034457,Not Available,Not Available,Not Available,Not Available
010023,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,MONTGOMERY,AL,36116,Montgomery,0.853715,0.875869,0.855381,0.879174,10 out of 10,9 out of 9,10 out of 10,0.881090,0.906068,0.884969,0.884116,2 out of 10,0 out of 9,2 out of 10,0.882266,0.909532,0.868793,0.857815,0 out of 10,0 out of 9,0 out of 10,0.032229,0.023178,0.023424,0.021817,10 out of 10,9 out of 9,10 out of 10
