Facility ID,Facility Name,Address,City,State,ZIP Code,County Name,Communication with Nurses Floor,Communication with Nurses Achievement Threshold,Communication with Nurses Benchmark,Communication with Nurses Baseline Rate,Communication with Nurses Performance Rate,Communication with Nurses Achievement Points,Communication with Nurses Improvement Points,Communication with Nurses Dimension Score,Communication with Doctors Floor,Communication with Doctors Achievement Threshold,Communication with Doctors Benchmark,Communication with Doctors Baseline Rate,Communication with Doctors Performance Rate,Communication with Doctors Achievement Points,Communication with Doctors Improvement Points,Communication with Doctors Dimension Score,Responsiveness of Hospital Staff Floor,Responsiveness of Hospital Staff Achievement Threshold,Responsiveness of Hospital Staff Benchmark,Responsiveness of Hospital Staff Baseline Rate,Responsiveness of Hospital Staff Performance Rate,Responsiveness of Hospital Staff Achievement Points,Responsiveness of Hospital Staff Improvement Points,Responsiveness of Hospital Staff Dimension Score,Care Transition Floor,Care Transition Achievement Threshold,Care Transition Benchmark,Care Transition Baseline Rate,Care Transition Performance Rate,Care Transition Achievement Points,Care Transition Improvement Points,Care Transition Dimension Score,Communication about Medicines Floor,Communication about Medicines Achievement Threshold,Communication about Medicines Benchmark,Communication about Medicines Baseline Rate,Communication about Medicines Performance Rate,Communication about Medicines Achievement Points,Communication about Medicines Improvement Points,Communication about Medicines Dimension Score,Cleanliness and Quietness of Hospital Environment Floor,Cleanliness and Quietness of Hospital Environment Achievement Threshold,Cleanliness and Quietness of Hospital Environment Benchmark,Cleanliness and Quietness of Hospital Environment Baseline Rate,Cleanliness and Quietness of Hospital Environment Performance Rate,Cleanliness and Quietness of Hospital Environment Achievement Points,Cleanliness and Quietness of Hospital Environment Improvement Points,Cleanliness and Quietness of Hospital Environment Dimension Score,Discharge Information Floor,Discharge Information Achievement Threshold,Discharge Information Benchmark,Discharge Information Baseline Rate,Discharge Information Performance Rate,Discharge Information Achievement Points,Discharge Information Improvement Points,Discharge Information Dimension Score,Overall Rating of Hospital Floor,Overall Rating of Hospital Achievement Threshold,Overall Rating of Hospital Benchmark,Overall Rating of Hospital Baseline Rate,Overall Rating of Hospital Performance Rate,Overall Rating of Hospital Achievement Points,Overall Rating of Hospital Improvement Points,Overall Rating of Hospital Dimension Score,HCAHPS Base Score,HCAHPS Consistency Score
010001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,Houston,51.80,79.08,87.12,75.68,73.89,0 out of 10,0 out of 9,0 out of 10,50.67,80.41,88.44,82.27,78.51,0 out of 10,0 out of 9,0 out of 10,35.74,65.07,80.14,57.42,56.77,0 out of 10,0 out of 9,0 out of 10,20.33,51.14,62.50,48.95,47.95,0 out of 10,0 out of 9,0 out of 10,26.16,63.30,73.86,63.48,57.40,0 out of 10,0 out of 9,0 out of 10,41.92,65.72,79.42,67.24,69.57,3 out of 10,1 out of 9,3 out of 10,66.72,87.44,92.11,87.41,85.87,0 out of 10,0 out of 9,0 out of 10,32.47,71.59,85.12,69.63,64.56,0 out of 10,0 out of 9,0 out of 10,3,14
010005,MARSHALL MEDICAL CENTERS SOUTH CAMPUS,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,Marshall,51.80,79.08,87.12,80.70,81.06,3 out of 10,0 out of 9,3 out of 10,50.67,80.41,88.44,86.16,84.85,5 out of 10,0 out of 9,5 out of 10,35.74,65.07,80.14,61.13,67.19,2 out of 10,3 out of 9,3 out of 10,20.33,51.14,62.50,50.58,49.26,0 out of 10,0 out of 9,0 out of 10,26.16,63.30,73.86,63.97,68.80,5 out of 10,4 out of 9,5 out of 10,41.92,65.72,79.42,65.48,68.86,3 out of 10,2 out of 9,3 out of 10,66.72,87.44,92.11,89.23,88.16,2 out of 10,0 out of 9,2 out of 10,32.47,71.59,85.12,73.77,72.45,1 out of 10,0 out of 9,1 out of 10,22,18
010006,NORTH ALABAMA MEDICAL CENTER,1701 VETERANS DRIVE,FLORENCE,AL,35630,Lauderdale,51.80,79.08,87.12,78.38,72.68,0 out of 10,0 out of 9,0 out of 10,50.67,80.41,88.44,83.88,80.33,0 out of 10,0 out of 9,0 out of 10,35.74,65.07,80.14,60.27,59.23,0 out of 10,0 out of 9,0 out of 10,20.33,51.14,62.50,47.58,45.99,0 out of 10,0 out of 9,0 out of 10,26.16,63.30,73.86,60.34,57.64,0 out of 10,0 out of 9,0 out of 10,41.92,65.72,79.42,61.80,59.56,0 out of 10,0 out of 9,0 out of 10,66.72,87.44,92.11,85.52,81.73,0 out of 10,0 out of 9,0 out of 10,32.47,71.59,85.12,55.81,61.11,0 out of 10,1 out of 9,1 out of 10,1,14
010007,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,AL,36467,Covington,51.80,79.08,87.12,76.70,78.45,0 out of 10,1 out of 9,1 out of 10,50.67,80.41,88.44,85.56,86.45,7 out of 10,3 out of 9,7 out of 10,35.74,65.07,80.14,72.93,67.97,2 out of 10,0 out of 9,2 out of 10,20.33,51.14,62.50,54.50,51.00,0 out of 10,0 out of 9,0 out of 10,26.16,63.30,73.86,70.08,62.81,0 out of 10,0 out of 9,0 out of 10,41.92,65.72,79.42,70.51,70.46,4 out of 10,0 out of 9,4 out of 10,66.72,87.44,92.11,87.88,85.06,0 out of 10,0 out of 9,0 out of 10,32.47,71.59,85.12,74.15,70.16,0 out of 10,0 out of 9,0 out of 10,14,17
010011,ST VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,Jefferson,51.80,79.08,87.12,76.18,76.64,0 out of 10,0 out of 9,0 out of 10,50.67,80.41,88.44,83.07,79.93,0 out of 10,0 out of 9,0 out of 10,35.74,65.07,80.14,62.27,66.96,2 out of 10,2 out of 9,2 out of 10,20.33,51.14,62.50,49.70,51.72,1 out of 10,1 out of 9,1 out of 10,26.16,63.30,73.86,63.73,63.08,0 out of 10,0 out of 9,0 out of 10,41.92,65.72,79.42,63.51,64.87,0 out of 10,0 out of 9,0 out of 10,66.72,87.44,92.11,86.04,85.28,0 out of 10,0 out of 9,0 out of 10,32.47,71.59,85.12,70.49,71.63,1 out of 10,0 out of 9,1 out of 10,4,17
010012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,AL,35968,DeKalb,51.80,79.08,87.12,80.28,75.69,0 out of 10,0 out of 9,0 out of 10,50.67,80.41,88.44,82.90,78.01,0 out of 10,0 out of 9,0 out of 10,35.74,65.07,80.14,65.36,63.64,0 out of 10,0 out of 9,0 out of 10,20.33,51.14,62.50,42.99,42.88,0 out of 10,0 out of 9,0 out of 10,26.16,63.30,73.86,61.59,57.79,0 out of 10,0 out of 9,0 out of 10,41.92,65.72,79.42,66.96,64.16,0 out of 10,0 out of 9,0 out of 10,66.72,87.44,92.11,88.17,84.97,0 out of 10,0 out of 9,0 out of 10,32.47,71.59,85.12,72.70,62.17,0 out of 10,0 out of 9,0 out of 10,0,14
010016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,AL,35007,Shelby,51.80,79.08,87.12,76.57,76.94,0 out of 10,0 out of 9,0 out of 10,50.67,80.41,88.44,82.26,79.27,0 out of 10,0 out of 9,0 out of 10,35.74,65.07,80.14,58.71,67.32,2 out of 10,4 out of 9,4 out of 10,20.33,51.14,62.50,49.22,49.69,0 out of 10,0 out of 9,0 out of 10,26.16,63.30,73.86,63.22,64.33,1 out of 10,1 out of 9,1 out of 10,41.92,65.72,79.42,61.32,65.67,0 out of 10,2 out of 9,2 out of 10,66.72,87.44,92.11,86.27,86.59,0 out of 10,0 out of 9,0 out of 10,32.47,71.59,85.12,66.77,69.17,0 out of 10,1 out of 9,1 out of 10,8,18
010019,HELEN KELLER MEMORIAL HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,AL,35660,Colbert,51.80,79.08,87.12,80.34,79.48,1 out of 10,0 out of 9,1 out of 10,50.67,80.41,88.44,82.47,82.30,3 out of 10,0 out of 9,3 out of 10,35.74,65.07,80.14,64.09,63.60,0 out of 10,0 out of 9,0 out of 10,20.33,51.14,62.50,52.56,48.14,0 out of 10,0 out of 9,0 out of 10,26.16,63.30,73.86,63.19,59.72,0 out of 10,0 out of 9,0 out of 10,41.92,65.72,79.42,65.32,67.99,2 out of 10,1 out of 9,2 out of 10,66.72,87.44,92.11,88.92,84.88,0 out of 10,0 out of 9,0 out of 10,32.47,71.59,85.12,74.96,69.43,0 out of 10,0 out of 9,0 out of 10,6,17
010021,DALE MEDICAL CENTER,126 HOSPITAL AVE,OZARK,AL,36360,Dale,51.80,79.08,87.12,82.90,84.73,7 out of 10,4 out of 9,7 out of 10,50.67,80.41,88.44,89.85,91.53,10 out of 10,9 out of 9,10 out of 10,35.74,65.07,80.14,83.45,81.37,10 out of 10,0 out of 9,10 out of 10,20.33,51.14,62.50,47.65,58.49,6 out of 10,7 out of 9,7 out of 10,26.16,63.30,73.86,71.69,77.86,10 out of 10,9 out of 9,10 out of 10,41.92,65.72,79.42,81.17,78.43,9 out of 10,0 out of 9,9 out of 10,66.72,87.44,92.11,87.89,89.40,4 out of 10,3 out of 9,4 out of 10,32.47,71.59,85.12,70.32,80.28,6 out of 10,6 out of 9,6 out of 10,63,20
010023,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,MONTGOMERY,AL,36116,Montgomery,51.80,79.08,87.12,78.25,77.47,0 out of 10,0 out of 9,0 out of 10,50.67,80.41,88.44,81.25,80.36,0 out of 10,0 out of 9,0 out of 10,35.74,65.07,80.14,61.93,62.98,0 out of 10,0 out of 9,0 out of 10,20.33,51.14,62.50,48.72,50.95,0 out of 10,1 out of 9,1 out of 10,26.16,63.30,73.86,63.27,64.29,1 out of 10,0 out of 9,1 out of 10,41.92,65.72,79.42,66.74,67.83,2 out of 10,0 out of 9,2 out of 10,66.72,87.44,92.11,86.50,83.36,0 out of 10,0 out of 9,0 out of 10,32.47,71.59,85.12,70.01,68.74,0 out of 10,0 out of 9,0 out of 10,4,16
