Facility ID,Facility Name,Address,City,State,ZIP Code,County Name,HAI-1 Achievement Threshold,HAI-1 Benchmark,HAI-1 Baseline Rate,HAI-1 Performance Rate,HAI-1 Achievement Points,HAI-1 Improvement Points,HAI-1 Measure Score,HAI-2 Achievement Threshold,HAI-2 Benchmark,HAI-2 Baseline Rate,HAI-2 Performance Rate,HAI-2 Achievement Points,HAI-2 Improvement Points,HAI-2 Measure Score,Combined SSI Measure Score,HAI-3 Achievement Threshold,HAI-3 Benchmark,HAI-3 Baseline Rate,HAI-3 Performance Rate,HAI-3 Achievement Points,HAI-3 Improvement Points,HAI-3 Measure Score,HAI-4 Achievement Threshold,HAI-4 Benchmark,HAI-4 Baseline Rate,HAI-4 Performance Rate,HAI-4 Achievement Points,HAI-4 Improvement Points,HAI-4 Measure Score,HAI-5 Achievement Threshold,HAI-5 Benchmark,HAI-5 Baseline Rate,HAI-5 Performance Rate,HAI-5 Achievement Points,HAI-5 Improvement Points,HAI-5 Measure Score,HAI-6 Achievement Threshold,HAI-6 Benchmark,HAI-6 Baseline Rate,HAI-6 Performance Rate,HAI-6 Achievement Points,HAI-6 Improvement Points,HAI-6 Measure Score,PC-01 Achievement Threshold,PC-01 Benchmark,PC-01 Baseline Rate,PC-01 Performance Rate,PC-01 Achievement Points,PC-01 Improvement Points,PC-01 Measure Score
010001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,Houston,0.784,0.000,0.874,1.233,0 out of 10,0 out of 9,0 out of 10,0.828,0.000,1.012,0.747,1 out of 10,2 out of 9,2 out of 10,10 out of 10,0.781,0.000,0.424,0.000,10 out of 10,9 out of 9,10 out of 10,0.722,0.000,0.000,0.000,10 out of 10,0 out of 9,10 out of 10,0.815,0.000,1.611,0.166,8 out of 10,8 out of 9,8 out of 10,0.852,0.091,0.339,0.470,5 out of 10,0 out of 9,5 out of 10,0.000000,0.000000,0.000000,0.031250,0 out of 10,0 out of 9,0 out of 10
010005,MARSHALL MEDICAL CENTERS SOUTH CAMPUS,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,Marshall,0.784,0.000,0.535,4.164,0 out of 10,0 out of 9,0 out of 10,0.828,0.000,1.213,0.914,0 out of 10,2 out of 9,2 out of 10,10 out of 10,0.781,0.000,0.000,0.000,10 out of 10,0 out of 9,10 out of 10,0.722,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.815,0.000,0.698,2.193,0 out of 10,0 out of 9,0 out of 10,0.852,0.091,0.082,0.227,8 out of 10,0 out of 9,8 out of 10,0.000000,0.000000,0.021739,0.005952,0 out of 10,7 out of 9,7 out of 10
010006,NORTH ALABAMA MEDICAL CENTER,1701 VETERANS DRIVE,FLORENCE,AL,35630,Lauderdale,0.784,0.000,1.228,1.017,0 out of 10,1 out of 9,1 out of 10,0.828,0.000,1.270,1.152,0 out of 10,0 out of 9,0 out of 10,2 out of 10,0.781,0.000,0.400,0.663,2 out of 10,0 out of 9,2 out of 10,0.722,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.815,0.000,1.682,1.182,0 out of 10,2 out of 9,2 out of 10,0.852,0.091,0.495,0.456,5 out of 10,0 out of 9,5 out of 10,0.000000,0.000000,0.000000,0.000000,10 out of 10,0 out of 9,10 out of 10
010007,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,AL,36467,Covington,0.784,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.828,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.781,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.722,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.815,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.852,0.091,Not Available,0.890,0 out of 10,Not Available,0 out of 10,0.000000,0.000000,Not Available,Not Available,Not Available,Not Available,Not Available
010011,ST VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,Jefferson,0.784,0.000,1.598,0.519,4 out of 10,6 out of 9,6 out of 10,0.828,0.000,0.805,1.127,0 out of 10,0 out of 9,0 out of 10,7 out of 10,0.781,0.000,0.321,0.235,7 out of 10,2 out of 9,7 out of 10,0.722,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.815,0.000,0.354,0.479,4 out of 10,0 out of 9,4 out of 10,0.852,0.091,0.600,0.536,4 out of 10,1 out of 9,4 out of 10,0.000000,0.000000,0.000000,0.133333,0 out of 10,0 out of 9,0 out of 10
010012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,AL,35968,DeKalb,0.784,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.828,0.000,0.000,0.504,4 out of 10,0 out of 9,4 out of 10,Not Available,0.781,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.722,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.815,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.852,0.091,0.723,0.512,5 out of 10,3 out of 9,5 out of 10,0.000000,0.000000,0.122449,0.045455,0 out of 10,6 out of 9,6 out of 10
010016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,AL,35007,Shelby,0.784,0.000,0.889,0.173,8 out of 10,8 out of 9,8 out of 10,0.828,0.000,0.852,0.684,2 out of 10,1 out of 9,2 out of 10,7 out of 10,0.781,0.000,0.000,0.226,7 out of 10,0 out of 9,7 out of 10,0.722,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.815,0.000,0.701,1.586,0 out of 10,0 out of 9,0 out of 10,0.852,0.091,0.465,0.410,6 out of 10,1 out of 9,6 out of 10,0.000000,0.000000,0.000000,0.000000,10 out of 10,0 out of 9,10 out of 10
010019,HELEN KELLER MEMORIAL HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,AL,35660,Colbert,0.784,0.000,1.589,0.000,10 out of 10,9 out of 9,10 out of 10,0.828,0.000,0.755,0.000,10 out of 10,9 out of 9,10 out of 10,1 out of 10,0.781,0.000,0.628,0.775,1 out of 10,0 out of 9,1 out of 10,0.722,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.815,0.000,Not Available,0.791,1 out of 10,Not Available,1 out of 10,0.852,0.091,0.342,0.340,7 out of 10,0 out of 9,7 out of 10,0.000000,0.000000,0.029412,0.010101,0 out of 10,6 out of 9,6 out of 10
010021,DALE MEDICAL CENTER,126 HOSPITAL AVE,OZARK,AL,36360,Dale,0.784,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.828,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.781,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.722,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.815,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.852,0.091,0.000,0.000,10 out of 10,0 out of 9,10 out of 10,0.000000,0.000000,Not Available,Not Available,Not Available,Not Available,Not Available
010023,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,MONTGOMERY,AL,36116,Montgomery,0.784,0.000,0.870,0.687,2 out of 10,2 out of 9,2 out of 10,0.828,0.000,0.906,1.002,0 out of 10,0 out of 9,0 out of 10,5 out of 10,0.781,0.000,0.000,0.419,5 out of 10,0 out of 9,5 out of 10,0.722,0.000,Not Available,Not Available,Not Available,Not Available,Not Available,0.815,0.000,0.912,1.406,0 out of 10,0 out of 9,0 out of 10,0.852,0.091,1.383,0.906,0 out of 10,3 out of 9,3 out of 10,0.000000,0.000000,0.026316,0.000000,10 out of 10,9 out of 9,10 out of 10
