year,geography,measure,adjustment,analysis,domain,condition,primary_sex,primary_age,primary_dual,fips,county,state,urban,primary_race,primary_denominator,analysis_value
2017,County,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,1001,Autauga County,ALABAMA,Urban,All,"undefined",14426
2017,County,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,1003,Baldwin County,ALABAMA,Rural,All,"undefined",11940
2017,County,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,1005,Barbour County,ALABAMA,Rural,All,"undefined",6814
2017,County,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,1007,Bibb County,ALABAMA,Urban,All,"undefined",10223
2017,County,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,1009,Blount County,ALABAMA,Urban,All,"undefined",7214
2017,County,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,1013,Butler County,ALABAMA,Rural,All,"undefined",13817
2017,County,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,1015,Calhoun County,ALABAMA,Urban,All,"undefined",10212
2017,County,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,1017,Chambers County,ALABAMA,Rural,All,"undefined",11981
2017,County,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,1019,Cherokee County,ALABAMA,Rural,All,"undefined",11114
2017,County,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,1021,Chilton County,ALABAMA,Urban,All,"undefined",13074
2017,County,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,1023,Choctaw County,ALABAMA,Rural,All,"undefined",12428
2017,County,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,1025,Clarke County,ALABAMA,Rural,All,"undefined",13691
2017,County,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,1027,Clay County,ALABAMA,Rural,All,"undefined",9301
2017,County,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,1029,Cleburne County,ALABAMA,Rural,All,"undefined",10585
2017,County,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,1031,Coffee County,ALABAMA,Rural,All,"undefined",10078
2017,County,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,1033,Colbert County,ALABAMA,Urban,All,"undefined",8182
2017,County,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,1035,Conecuh County,ALABAMA,Rural,All,"undefined",7781
2017,County,Average principal cost,Unsmoothed actual,Base measure,Primary chronic conditions,"Acute myocardial infarction",All,All,Dual & non-dual,1037,Coosa County,ALABAMA,Rural,All,"undefined",9359
