FID,Field_1,GbProv,N_H_0115,N_H_0116,N_H_0117,N_H_0118,N_H_0119,N_H_0120,N_H_0121,N_H_0122,N_H_0123,N_H_0124,N_H_0125,N_H_0126,N_H_0127,N_H_0128,N_H_0129,N_H_0130,N_H_0131,N_H_0201,N_H_0202,N_H_0203,N_H_0204,N_H_0205,N_H_0206,N_H_0207,N_H_0208,N_H_0209,N_H_0210,N_H_0211,N_H_0212,N_H_0213,N_H_0214,N_H_0215,N_H_0216,N_H_0217,N_H_0218,N_H_0219,N_H_0220,N_H_0221,N_H_0222,N_H_0223,N_H_0224,N_H_0225,N_H_0226,N_H_0227,N_H_0228,N_H_0229,N_H_0301,N_H_0302,N_H_0303,N_H_0304,N_H_0305,N_H_0306,N_H_0307,N_H_0308,N_H_0309,N_H_0310,N_H_0311,N_H_0312,N_H_0313,N_H_0314,N_H_0315,N_H_0316,N_H_0317,N_H_0318,N_H_0319,N_H_0320,N_H_0321,N_H_0322,N_H_0323,N_H_0324,N_H_0325,N_H_0326,N_H_0327,N_H_0328,N_H_0329,N_H_0330,N_H_0331,N_H_0401,N_H_0402,N_H_0403,N_H_0404,N_H_0405,N_H_0406,N_H_0407,N_H_0408,N_H_0409,N_H_0410,N_H_0411,N_H_0412,N_H_0413,N_H_0414,N_H_0415,N_H_0416,N_H_0417,N_H_0418,N_H_0419,ProvCH,ProvEN,T_H_0115,T_H_0116,T_H_0117,T_H_0118,T_H_0119,T_H_0120,T_H_0121,T_H_0122,T_H_0123,T_H_0124,T_H_0125,T_H_0126,T_H_0127,T_H_0128,T_H_0129,T_H_0130,T_H_0131,T_H_0201,T_H_0202,T_H_0203,T_H_0204,T_H_0205,T_H_0206,T_H_0207,T_H_0208,T_H_0209,T_H_0210,T_H_0211,T_H_0212,T_H_0213,T_H_0214,T_H_0215,T_H_0216,T_H_0217,T_H_0218,T_H_0219,T_H_0220,T_H_0221,T_H_0222,T_H_0223,T_H_0224,T_H_0225,T_H_0226,T_H_0227,T_H_0228,T_H_0229,T_H_0301,T_H_0302,T_H_0303,T_H_0304,T_H_0305,T_H_0306,T_H_0307,T_H_0308,T_H_0309,T_H_0310,T_H_0311,T_H_0312,T_H_0313,T_H_0314,T_H_0315,T_H_0316,T_H_0317,T_H_0318,T_H_0319,T_H_0320,T_H_0321,T_H_0322,T_H_0323,T_H_0324,T_H_0325,T_H_0326,T_H_0327,T_H_0328,T_H_0329,T_H_0330,T_H_0331,T_H_0401,T_H_0402,T_H_0403,T_H_0404,T_H_0405,T_H_0406,T_H_0407,T_H_0408,T_H_0409,T_H_0410,T_H_0411,T_H_0412,T_H_0413,T_H_0414,T_H_0415,T_H_0416,T_H_0417,T_H_0418,T_H_0419
0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,4,3,11,1,7,2,1,3,7,4,8,12,11,18,8,9,8,23,8,16,9,11,9,17,20,13,9,14,5,0,6,6,9,1,5,0,12,5,6,8,10,-2,11,0,15,5,6,5,8,6,2,1,0,2,3,3,2,1,4,2,0,16,4,3,2,5,7,9,5,5,5,5,7,4,8,6,0,1,4,北京市,Beijing,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,5,5,9,12,23,24,31,33,34,37,44,48,56,68,79,97,105,114,122,145,153,169,178,189,198,215,235,248,257,271,276,276,282,288,297,298,303,303,315,320,326,334,344,342,353,353,368,373,379,384,392,398,400,401,401,403,406,409,411,412,416,418,418,434,438,441,443,448,455,464,469,474,479,484,491,495,503,509,509,510,514
1,26,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,4,2,1,10,11,5,8,1,2,6,5,3,3,16,6,4,5,6,3,4,2,7,6,4,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,4,0,7,1,0,2,4,3,0,3,4,3,1,1,0,1,天津市,Tianjin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,4,4,8,10,11,21,32,37,45,46,48,54,59,62,65,81,87,91,96,102,105,109,111,118,124,128,128,128,128,129,130,131,132,132,132,132,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,135,135,140,140,144,144,151,152,152,154,158,161,161,164,168,171,172,173,173,174
2,9,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,3,9,9,5,5,6,7,6,15,17,14,9,14,13,16,18,14,20,17,20,7,13,13,3,6,11,3,3,1,3,1,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,1,1,0,0,1,河北省,Hebei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,7,16,25,30,35,41,48,54,69,86,100,109,123,136,152,170,184,204,221,241,248,261,274,277,283,294,297,300,301,304,305,307,307,307,307,307,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,310,312,313,313,313,313,313,314,314,315,316,316,316,317
3,22,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,2,6,3,6,4,1,4,3,3,2,8,4,3,8,7,8,2,3,7,6,4,6,3,5,2,2,3,5,0,2,0,0,0,1,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,山西省,Shanxi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,4,6,12,15,21,25,26,30,33,36,38,46,50,53,61,68,76,78,81,88,94,98,104,107,112,114,116,119,124,124,126,126,126,126,127,131,131,132,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,134,134,134,135,135,135,135,135,135,135,135,135,135
4,18,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,-4,5,0,0,0,0,1,0,0,1,1,0,1,2,5,6,4,4,4,1,3,5,3,5,0,3,5,4,2,0,3,2,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,8,3,0,0,9,1,0,内蒙古,Neimenggu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,4,0,5,5,5,5,5,6,6,6,7,8,8,9,11,16,22,26,30,34,35,38,43,46,51,51,54,59,63,65,65,68,70,70,70,71,71,71,71,71,73,73,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,79,79,83,83,91,94,94,94,103,104,104
5,17,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,2,1,5,0,5,2,3,0,7,3,9,2,12,3,3,5,2,5,10,5,4,1,2,6,2,0,3,0,0,0,2,1,1,1,0,1,1,0,1,5,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,1,0,1,1,3,0,2,0,0,2,2,0,1,辽宁省,Liaoning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,4,6,7,12,12,17,19,22,22,29,32,41,43,55,58,61,66,68,73,83,88,92,93,95,101,103,103,106,106,106,106,108,109,110,111,111,112,113,113,114,119,122,122,122,122,122,124,124,124,124,124,124,124,124,124,124,124,124,125,125,128,130,131,131,132,133,136,136,138,138,138,140,142,142,143
6,14,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,1,7,1,5,4,3,0,3,2,4,2,4,4,2,6,2,6,3,2,3,5,2,3,5,1,2,2,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,1,0,0,0,吉林省,Jilin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,4,4,5,12,13,18,22,25,25,28,30,34,36,40,44,46,52,54,60,63,65,68,73,75,78,83,84,86,88,90,90,90,91,91,91,91,91,91,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,93,95,96,96,96,96,96,96,97,97,97,97
7,11,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,3,1,4,1,2,12,1,3,6,11,22,10,5,23,15,18,42,32,9,8,13,17,18,15,35,20,8,14,7,1,22,7,12,13,1,5,6,1,6,1,2,3,1,3,0,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,黑龙江省,Heilongjiang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,7,8,12,13,15,27,28,31,37,48,70,80,85,108,123,141,183,215,224,232,245,262,280,295,330,350,358,372,379,380,402,409,421,434,435,440,446,447,453,454,456,459,460,463,463,465,465,468,468,469,469,469,469,469,469,469,469,469,469,469,469,469,470,470,470,470,470,470,470,470,471,471,472,472,473
8,24,31,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,0,4,1,0,0,2,3,10,5,11,3,4,5,4,5,28,34,16,21,16,9,13,12,16,22,12,7,4,4,3,8,3,2,2,4,5,3,7,1,1,4,1,1,3,0,0,1,0,1,0,0,1,1,1,1,0,1,3,0,0,4,3,2,0,5,8,27,6,17,11,5,13,3,8,12,10,17,4,23,4,5,上海市,Shanghai,0,0,0,0,0,0,0,0,0,1,1,1,3,4,5,5,9,10,10,10,12,15,25,30,41,44,48,53,57,62,90,124,140,161,177,186,199,211,227,249,261,268,272,276,279,287,290,292,294,298,303,306,313,314,315,319,320,321,324,324,324,325,325,326,326,326,327,328,329,330,330,331,334,334,334,338,341,343,343,348,356,383,389,406,417,422,435,438,446,458,468,485,489,512,516,521
9,15,32,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,1,1,1,5,13,12,5,8,21,12,10,37,6,23,30,36,37,33,29,27,35,24,16,31,5,31,12,13,10,7,19,10,15,8,13,9,8,3,6,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,4,0,3,1,0,1,0,0,0,江苏省,Jiangsu,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,5,6,7,8,13,26,38,43,51,72,84,94,131,137,160,190,226,263,296,325,352,387,411,427,458,463,494,506,519,529,536,555,565,580,588,601,610,618,621,627,628,630,630,631,631,631,631,631,631,631,631,631,631,631,631,631,631,631,631,631,631,631,631,632,633,633,633,633,633,633,634,638,638,641,642,642,643,643,643,643
