GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52,HD01_VD53,HD02_VD53,HD01_VD54,HD02_VD54,HD01_VD55,HD02_VD55,HD01_VD56,HD02_VD56,HD01_VD57,HD02_VD57,HD01_VD58,HD02_VD58,HD01_VD59,HD02_VD59
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Income in the past 12 months below poverty level:,Margin of Error; Income in the past 12 months below poverty level:,Estimate; Income in the past 12 months below poverty level: - Male:,Margin of Error; Income in the past 12 months below poverty level: - Male:,Estimate; Income in the past 12 months below poverty level: - Male: - Under 5 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - Under 5 years,Estimate; Income in the past 12 months below poverty level: - Male: - 5 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 5 years,Estimate; Income in the past 12 months below poverty level: - Male: - 6 to 11 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 6 to 11 years,Estimate; Income in the past 12 months below poverty level: - Male: - 12 to 14 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 12 to 14 years,Estimate; Income in the past 12 months below poverty level: - Male: - 15 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 15 years,Estimate; Income in the past 12 months below poverty level: - Male: - 16 and 17 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 16 and 17 years,Estimate; Income in the past 12 months below poverty level: - Male: - 18 to 24 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 18 to 24 years,Estimate; Income in the past 12 months below poverty level: - Male: - 25 to 34 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 25 to 34 years,Estimate; Income in the past 12 months below poverty level: - Male: - 35 to 44 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 35 to 44 years,Estimate; Income in the past 12 months below poverty level: - Male: - 45 to 54 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 45 to 54 years,Estimate; Income in the past 12 months below poverty level: - Male: - 55 to 64 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 55 to 64 years,Estimate; Income in the past 12 months below poverty level: - Male: - 65 to 74 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 65 to 74 years,Estimate; Income in the past 12 months below poverty level: - Male: - 75 years and over,Margin of Error; Income in the past 12 months below poverty level: - Male: - 75 years and over,Estimate; Income in the past 12 months below poverty level: - Female:,Margin of Error; Income in the past 12 months below poverty level: - Female:,Estimate; Income in the past 12 months below poverty level: - Female: - Under 5 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - Under 5 years,Estimate; Income in the past 12 months below poverty level: - Female: - 5 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 5 years,Estimate; Income in the past 12 months below poverty level: - Female: - 6 to 11 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 6 to 11 years,Estimate; Income in the past 12 months below poverty level: - Female: - 12 to 14 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 12 to 14 years,Estimate; Income in the past 12 months below poverty level: - Female: - 15 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 15 years,Estimate; Income in the past 12 months below poverty level: - Female: - 16 and 17 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 16 and 17 years,Estimate; Income in the past 12 months below poverty level: - Female: - 18 to 24 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 18 to 24 years,Estimate; Income in the past 12 months below poverty level: - Female: - 25 to 34 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 25 to 34 years,Estimate; Income in the past 12 months below poverty level: - Female: - 35 to 44 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 35 to 44 years,Estimate; Income in the past 12 months below poverty level: - Female: - 45 to 54 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 45 to 54 years,Estimate; Income in the past 12 months below poverty level: - Female: - 55 to 64 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 55 to 64 years,Estimate; Income in the past 12 months below poverty level: - Female: - 65 to 74 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 65 to 74 years,Estimate; Income in the past 12 months below poverty level: - Female: - 75 years and over,Margin of Error; Income in the past 12 months below poverty level: - Female: - 75 years and over,Estimate; Income in the past 12 months at or above poverty level:,Margin of Error; Income in the past 12 months at or above poverty level:,Estimate; Income in the past 12 months at or above poverty level: - Male:,Margin of Error; Income in the past 12 months at or above poverty level: - Male:,Estimate; Income in the past 12 months at or above poverty level: - Male: - Under 5 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - Under 5 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 5 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 5 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 6 to 11 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 6 to 11 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 12 to 14 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 12 to 14 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 15 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 15 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 16 and 17 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 16 and 17 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 18 to 24 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 18 to 24 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 25 to 34 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 25 to 34 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 35 to 44 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 35 to 44 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 45 to 54 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 45 to 54 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 55 to 64 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 55 to 64 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 65 to 74 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 65 to 74 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 75 years and over,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 75 years and over,Estimate; Income in the past 12 months at or above poverty level: - Female:,Margin of Error; Income in the past 12 months at or above poverty level: - Female:,Estimate; Income in the past 12 months at or above poverty level: - Female: - Under 5 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - Under 5 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 5 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 5 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 6 to 11 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 6 to 11 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 12 to 14 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 12 to 14 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 15 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 15 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 16 and 17 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 16 and 17 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 18 to 24 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 18 to 24 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 25 to 34 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 25 to 34 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 35 to 44 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 35 to 44 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 45 to 54 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 45 to 54 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 55 to 64 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 55 to 64 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 65 to 74 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 65 to 74 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 75 years and over,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 75 years and over
0400000US01,01,Alabama,4729116,1181,849699,9868,367621,5904,42920,1378,8350,636,49699,1824,21081,1086,7047,516,14373,879,52159,2026,43059,1645,32651,1388,34486,1302,36705,1333,15980,853,9111,614,482078,6212,42584,1493,8192,694,46320,1457,22068,1131,7327,616,12435,783,64331,1792,75140,1800,55230,1592,48349,1423,48317,1619,27189,986,24596,813,3879417,9807,1912734,5834,103801,1305,21174,1140,137156,2134,73774,1740,25602,1015,50635,1231,163397,2028,253621,1944,250113,1637,272901,1580,262251,1465,188502,957,109807,705,1966683,6173,98135,1478,19835,1022,131636,1987,69427,1702,24946,1010,48919,1093,145372,1884,241945,1865,251844,1533,284310,1564,283623,1644,211877,1113,154814,1024
0400000US02,02,Alaska,719983,538,73380,2803,35420,1429,3881,387,965,159,4306,479,2172,304,552,151,1179,190,4704,506,4867,430,3515,354,3798,334,3940,413,957,194,584,176,37960,1673,3982,381,758,232,4482,459,1733,283,765,195,943,136,5394,475,6528,482,3819,423,3902,375,3447,385,1299,195,908,185,646603,2898,337477,1466,23171,465,4248,512,26134,822,13727,693,4923,421,8658,448,33324,555,55069,622,43496,532,45222,570,44523,505,25130,284,9852,223,309126,1848,21883,439,4656,422,24432,761,11975,664,4392,370,8141,376,26602,543,48406,539,40151,537,41986,456,42039,456,22967,337,11496,242
0400000US04,04,Arizona,6654096,1543,1128046,13440,522398,7103,56166,1598,10241,763,67320,2001,28913,1135,10029,712,19940,973,76603,2399,65479,1725,53093,1527,47328,1475,48411,1488,23661,945,15214,729,605648,7976,56539,1816,11096,714,65745,1893,28628,1249,9718,679,18671,956,84934,2291,87360,2085,70555,1534,57441,1517,55247,1954,31963,985,27751,906,5526050,13744,2752802,7158,161577,1569,30942,1231,211131,2320,107619,2177,35295,1308,73300,1350,242014,2623,383014,1875,353728,1610,358389,1590,329887,1587,277450,889,188456,753,2773248,8550,152302,1851,32173,1249,198414,2634,103817,2099,35329,1016,70278,1262,218315,2402,353892,2188,344658,1592,365462,1562,368451,1970,307743,1027,222414,1000
0400000US05,05,Arkansas,2890095,1011,524211,9039,235444,4963,28735,1256,5684,561,30596,1453,14022,859,4529,481,8633,638,31862,1614,27422,1300,21985,1143,23195,1014,22592,929,9859,743,6330,495,288767,5236,26123,1243,5294,625,29950,1287,12965,804,4044,452,7272,527,40797,1453,42784,1287,32456,1253,28426,1250,27075,1060,15219,828,16362,804,2365884,8948,1174888,5087,66903,1237,13652,892,88839,1539,45196,1421,16125,770,31460,856,97214,1764,158903,1445,153791,1378,159420,1214,153732,1023,117789,740,71864,670,1190996,5282,64346,1258,13426,797,84657,1534,43947,1315,15609,875,30532,914,84897,1334,149371,1422,151282,1444,164054,1211,166135,1194,130383,902,92357,852
0400000US06,06,California,38242946,4002,5773408,38706,2644246,18827,268132,3848,54973,1690,325070,5179,148344,3129,50618,1631,101287,2420,377244,4374,340840,4112,286844,4258,263334,3328,237211,3796,111828,2020,78521,1662,3129162,22386,259863,4576,51358,1545,314529,4945,141644,2949,50865,1765,98542,2180,435511,5499,467359,5378,395023,4676,313795,3887,273664,3472,160736,2801,166273,2658,32469538,38747,16253026,19309,987432,4033,195298,2901,1209237,5936,612774,4897,206657,2675,423712,3009,1491401,4607,2573729,4615,2257592,4578,2283357,3465,1960851,3953,1243436,2084,807550,1925,16216512,22388,939193,4679,183768,3202,1159188,5891,592228,5055,199007,2871,404986,3682,1343189,5695,2350880,5423,2178303,4713,2291521,4124,2089706,3549,1403515,2810,1081028,2911
0400000US08,08,Colorado,5316870,1144,612143,9202,279081,5168,26850,1613,5903,543,31055,1335,13932,927,4350,449,8579,682,51529,2114,39147,1594,26834,1287,23974,976,27579,1091,12283,806,7066,531,333062,5545,25642,1337,5421,601,30152,1372,13986,907,5385,506,8240,690,59597,1665,53619,1608,36439,1331,30439,1338,32120,1191,17150,874,14872,752,4704727,9483,2375804,5279,141640,1610,29531,1185,183787,2272,94136,1966,31874,981,59425,1175,190442,1978,374469,1897,342226,1372,328640,1243,302512,1240,192647,854,104475,608,2328923,5760,135998,1278,27201,1019,176627,2113,87838,1590,29307,941,57259,1078,166704,1818,341498,1898,320377,1424,326053,1444,316640,1334,206390,958,137031,899
0400000US09,09,Connecticut,3486033,827,350783,6362,154683,3293,14390,890,2879,434,17784,1065,8081,699,3261,382,5310,490,22147,1292,18718,1128,14739,945,17936,1148,16300,784,7583,601,5555,461,196100,3998,13650,898,2965,438,17226,977,7717,617,2867,398,5549,480,23434,1228,31064,1205,21805,1085,22408,1185,21023,912,12658,730,13734,750,3135250,6426,1542936,3491,79210,976,15846,866,112026,1710,61098,1284,21382,824,43384,864,131528,1408,196428,1194,193326,1046,238758,1185,221576,870,138450,679,89924,613,1592314,4169,76128,847,16344,980,107421,1675,57096,1471,20154,827,40887,843,116850,1428,185542,1289,198877,1156,252649,1170,233934,987,155927,802,130505,888
0400000US10,10,Delaware,918100,510,111304,3227,47715,1908,5321,587,892,204,6253,639,2710,355,828,188,1413,263,6645,595,5049,620,4721,460,5070,461,4927,482,2219,281,1667,243,63589,2155,5560,520,1192,273,5988,598,2394,331,753,154,1560,274,8630,780,9500,701,7472,500,6607,493,6555,520,3905,394,3473,383,806796,3245,394979,2067,22191,642,4550,492,27488,798,14907,725,5234,417,10008,536,31981,735,55312,700,47642,500,55556,458,53965,518,41513,288,24632,278,411817,2263,21117,540,4372,449,26570,860,14874,846,4851,389,9616,437,28725,806,52975,710,49068,522,59879,483,60662,526,47087,406,32021,405
0400000US11,11,District of Columbia,638362,368,111025,3247,47359,1769,4392,565,890,225,4679,511,1984,327,918,194,1146,248,8332,762,6330,603,3703,433,5290,546,5622,467,2574,318,1499,244,63666,2392,4985,531,1083,225,4953,563,2278,335,618,161,1684,272,9693,733,12034,834,6817,591,5902,459,6642,536,3424,414,3553,335,527337,3229,254610,1805,17398,577,2735,342,13268,597,5522,389,1897,276,3625,329,15719,789,65386,611,42765,493,32575,605,26462,497,16824,346,10434,285,272727,2336,16219,572,2137,300,13270,596,5259,487,1783,225,3422,286,17572,743,70896,841,41188,572,32049,467,30019,544,21988,432,16925,371
