GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Income in the past 12 months below poverty level:,Margin of Error; Income in the past 12 months below poverty level:,Estimate; Income in the past 12 months below poverty level: - Male:,Margin of Error; Income in the past 12 months below poverty level: - Male:,Estimate; Income in the past 12 months below poverty level: - Male: - Less than high school graduate,Margin of Error; Income in the past 12 months below poverty level: - Male: - Less than high school graduate,Estimate; Income in the past 12 months below poverty level: - Male: - High school graduate (includes equivalency),Margin of Error; Income in the past 12 months below poverty level: - Male: - High school graduate (includes equivalency),"Estimate; Income in the past 12 months below poverty level: - Male: - Some college, associate's degree","Margin of Error; Income in the past 12 months below poverty level: - Male: - Some college, associate's degree",Estimate; Income in the past 12 months below poverty level: - Male: - Bachelor's degree or higher,Margin of Error; Income in the past 12 months below poverty level: - Male: - Bachelor's degree or higher,Estimate; Income in the past 12 months below poverty level: - Female:,Margin of Error; Income in the past 12 months below poverty level: - Female:,Estimate; Income in the past 12 months below poverty level: - Female: - Less than high school graduate,Margin of Error; Income in the past 12 months below poverty level: - Female: - Less than high school graduate,Estimate; Income in the past 12 months below poverty level: - Female: - High school graduate (includes equivalency),Margin of Error; Income in the past 12 months below poverty level: - Female: - High school graduate (includes equivalency),"Estimate; Income in the past 12 months below poverty level: - Female: - Some college, associate's degree","Margin of Error; Income in the past 12 months below poverty level: - Female: - Some college, associate's degree",Estimate; Income in the past 12 months below poverty level: - Female: - Bachelor's degree or higher,Margin of Error; Income in the past 12 months below poverty level: - Female: - Bachelor's degree or higher,Estimate; Income in the past 12 months at or above poverty level:,Margin of Error; Income in the past 12 months at or above poverty level:,Estimate; Income in the past 12 months at or above poverty level: - Male:,Margin of Error; Income in the past 12 months at or above poverty level: - Male:,Estimate; Income in the past 12 months at or above poverty level: - Male: - Less than high school graduate,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - Less than high school graduate,Estimate; Income in the past 12 months at or above poverty level: - Male: - High school graduate (includes equivalency),Margin of Error; Income in the past 12 months at or above poverty level: - Male: - High school graduate (includes equivalency),"Estimate; Income in the past 12 months at or above poverty level: - Male: - Some college, associate's degree","Margin of Error; Income in the past 12 months at or above poverty level: - Male: - Some college, associate's degree",Estimate; Income in the past 12 months at or above poverty level: - Male: - Bachelor's degree or higher,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - Bachelor's degree or higher,Estimate; Income in the past 12 months at or above poverty level: - Female:,Margin of Error; Income in the past 12 months at or above poverty level: - Female:,Estimate; Income in the past 12 months at or above poverty level: - Female: - Less than high school graduate,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - Less than high school graduate,Estimate; Income in the past 12 months at or above poverty level: - Female: - High school graduate (includes equivalency),Margin of Error; Income in the past 12 months at or above poverty level: - Female: - High school graduate (includes equivalency),"Estimate; Income in the past 12 months at or above poverty level: - Female: - Some college, associate's degree","Margin of Error; Income in the past 12 months at or above poverty level: - Female: - Some college, associate's degree",Estimate; Income in the past 12 months at or above poverty level: - Female: - Bachelor's degree or higher,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - Bachelor's degree or higher
0400000US01,01,Alabama,3216421,1124,450813,5709,171992,3356,59033,1884,63087,2322,35734,1514,14138,866,278821,3809,80623,2087,99113,2475,78154,2286,20931,1075,2765608,5913,1337195,3669,168835,2642,417484,4616,392645,4042,358231,3687,1428413,3751,150427,2370,409712,3615,461543,4136,406731,4523
0400000US02,02,Alaska,467901,475,37564,1425,17661,772,3313,338,8274,485,4611,432,1463,259,19903,1028,3786,383,8028,616,5870,474,2219,412,430337,1446,223292,900,14748,700,65719,1360,80936,1450,61889,1502,207045,1012,13207,614,46290,1266,76189,1739,71359,1513
0400000US04,04,Arizona,4437047,1015,583503,6395,253186,3374,76785,2104,78400,1878,66282,1664,31719,1163,330317,4073,97200,2461,96977,2207,99243,2381,36897,1381,3853544,6442,1890924,3437,214741,3133,439321,3897,636326,5181,600536,5385,1962620,4323,197722,3357,451116,3893,704030,4606,609752,4509
0400000US05,05,Arkansas,1942786,1018,273705,4878,111383,2558,33340,1140,45803,1822,23316,1137,8924,728,162322,3045,44083,1678,60489,1811,47019,1324,10731,782,1669081,4997,815499,2763,106784,2265,285630,3582,230703,3510,192382,3228,853582,3147,90697,1951,268527,3162,271840,2970,222518,3048
0400000US06,06,California,25616896,1785,3095428,18079,1318578,9868,459913,5879,341836,4854,316857,4273,199972,3125,1776850,11251,620957,6592,447016,5496,470525,4812,238352,3520,22521468,18275,11126515,9974,1713200,9028,2264365,12715,3225506,12749,3923444,17231,11394953,11360,1641143,9139,2188780,11658,3505483,11046,4059547,18988
0400000US08,08,Colorado,3614480,1045,321522,4583,136883,2777,30708,1407,39855,1535,39112,1279,27208,1269,184639,3119,40960,1685,49469,1537,59180,1626,35030,1348,3292958,4866,1644969,2878,132442,2844,344507,3471,487983,3780,680037,4780,1647989,3486,110457,2320,331396,3663,507237,3924,698899,4547
0400000US09,09,Connecticut,2439419,550,203523,3190,80831,1900,23469,1205,28279,1323,15770,873,13313,791,122692,2403,32410,1224,41885,1530,29477,1455,18920,915,2235896,3277,1078462,1980,92048,2202,297955,3597,252215,2393,436244,3381,1157434,2472,84072,2099,288184,3593,305042,2994,480136,4029
0400000US10,10,Delaware,641477,333,61165,1907,23653,1153,5946,662,10124,661,4453,463,3130,371,37512,1321,8455,669,15578,982,9695,627,3784,437,580312,1964,278620,1207,28562,1120,85960,1927,72654,1767,91444,1691,301692,1385,22963,1075,87437,1567,88558,1779,102734,1805
0400000US11,11,District of Columbia,470901,330,63390,1808,25018,1130,5939,487,8107,617,4691,467,6281,580,38372,1523,8956,743,12425,866,8119,609,8872,728,407511,1838,194446,1183,15430,1048,28765,1153,27932,1144,122319,1272,213065,1532,14348,794,32260,1073,34882,1112,131575,1422
