GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Income in the past 12 months below poverty level:,Margin of Error; Income in the past 12 months below poverty level:,Estimate; Income in the past 12 months below poverty level: - Male:,Margin of Error; Income in the past 12 months below poverty level: - Male:,"Estimate; Income in the past 12 months below poverty level: - Male: - Worked full time, year-round","Margin of Error; Income in the past 12 months below poverty level: - Male: - Worked full time, year-round",Estimate; Income in the past 12 months below poverty level: - Male: - Worked part-time or part-year,Margin of Error; Income in the past 12 months below poverty level: - Male: - Worked part-time or part-year,Estimate; Income in the past 12 months below poverty level: - Male: - Did not work,Margin of Error; Income in the past 12 months below poverty level: - Male: - Did not work,Estimate; Income in the past 12 months below poverty level: - Female:,Margin of Error; Income in the past 12 months below poverty level: - Female:,"Estimate; Income in the past 12 months below poverty level: - Female: - Worked full time, year-round","Margin of Error; Income in the past 12 months below poverty level: - Female: - Worked full time, year-round",Estimate; Income in the past 12 months below poverty level: - Female: - Worked part-time or part-year,Margin of Error; Income in the past 12 months below poverty level: - Female: - Worked part-time or part-year,Estimate; Income in the past 12 months below poverty level: - Female: - Did not work,Margin of Error; Income in the past 12 months below poverty level: - Female: - Did not work,Estimate; Income in the past 12 months at or above poverty level:,Margin of Error; Income in the past 12 months at or above poverty level:,Estimate; Income in the past 12 months at or above poverty level: - Male:,Margin of Error; Income in the past 12 months at or above poverty level: - Male:,"Estimate; Income in the past 12 months at or above poverty level: - Male: - Worked full time, year-round","Margin of Error; Income in the past 12 months at or above poverty level: - Male: - Worked full time, year-round",Estimate; Income in the past 12 months at or above poverty level: - Male: - Worked part-time or part-year,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - Worked part-time or part-year,Estimate; Income in the past 12 months at or above poverty level: - Male: - Did not work,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - Did not work,Estimate; Income in the past 12 months at or above poverty level: - Female:,Margin of Error; Income in the past 12 months at or above poverty level: - Female:,"Estimate; Income in the past 12 months at or above poverty level: - Female: - Worked full time, year-round","Margin of Error; Income in the past 12 months at or above poverty level: - Female: - Worked full time, year-round",Estimate; Income in the past 12 months at or above poverty level: - Female: - Worked part-time or part-year,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - Worked part-time or part-year,Estimate; Income in the past 12 months at or above poverty level: - Female: - Did not work,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - Did not work
0400000US01,01,Alabama,3768042,1570,594111,7072,238524,4356,25729,1232,65575,1985,147220,3374,355587,4600,29859,1464,97118,1972,228610,3810,3173931,7082,1551227,4520,823561,4613,266224,3469,461442,3973,1622704,4597,621532,4076,334184,3919,666988,4255
0400000US02,02,Alaska,556846,609,49784,1812,23544,995,2204,382,10272,699,11068,631,26240,1181,1688,247,10717,651,13835,876,507062,1796,265274,1101,139776,1813,76927,1756,48571,1152,241788,1240,99954,1409,74159,1435,67675,1373
0400000US04,04,Arizona,5241102,1772,783651,8450,349729,4749,48299,1780,112165,2500,189265,3159,433922,5400,33263,1319,125408,2696,275251,3767,4457451,8696,2206238,4878,1149146,5428,422650,4778,634442,4486,2251213,5831,843955,5148,515929,5333,891329,4914
0400000US05,05,Arkansas,2275453,1519,362269,6273,151878,3409,18951,1119,45004,1763,87923,2572,210391,3821,17582,1016,59930,1895,132879,2811,1913184,6360,944173,3715,505792,3677,164520,2616,273861,3151,969011,3733,388401,3282,199745,3129,380865,3665
0400000US06,06,California,30292768,4526,4108012,22914,1797109,11766,241522,4157,573903,5300,981684,9132,2310903,14392,145943,3087,670998,5722,1493962,12181,26184756,24200,13041628,12575,6979501,11871,2817106,13411,3245021,9536,13143128,15506,4842039,12970,3401679,18002,4899410,12357
0400000US08,08,Colorado,4216255,1578,449467,6033,196991,3749,26049,1179,82237,2524,88705,2229,252476,4038,19780,1023,101899,2276,130797,3284,3766788,6515,1894836,3833,1117346,4793,406011,4331,371479,3405,1871952,4323,775385,4737,516820,4127,579747,3488
0400000US09,09,Connecticut,2828508,1184,259963,4347,108288,2493,7366,728,36134,1613,64788,1855,151675,2984,6787,511,49342,1751,95546,2077,2568545,4321,1253374,2636,691404,3933,272093,3564,289877,3388,1315171,3105,520219,4141,369477,3821,425475,2955
0400000US10,10,Delaware,740055,717,79413,2278,31711,1444,2947,372,9795,839,18969,969,47702,1584,3321,323,14691,944,29690,1296,660642,2508,320609,1642,169136,1650,63979,1606,87494,1761,340033,1738,142178,2031,76460,1898,121395,1713
0400000US11,11,District of Columbia,532094,420,84245,2413,34496,1541,2114,377,10263,894,22119,1175,49749,1906,2756,407,14944,948,32049,1520,447849,2391,213790,1562,136051,1520,38705,1256,39034,1246,234059,1862,130959,1805,47580,1405,55520,1298
