GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
0400000US01,01,Alabama,4850771,*****,3317702,3366,1287167,2157,25098,1253,62815,1347,2213,592,66942,3415,88834,2722,7644,1077,81190,2494
0400000US02,02,Alaska,738565,*****,481971,1468,23702,789,104995,1588,45604,929,9075,369,10505,1166,62713,2101,3204,672,59509,1879
0400000US04,04,Arizona,6809946,*****,5277661,9610,292831,2472,300182,3060,213417,2141,13364,603,474583,8302,237908,5737,48784,2251,189124,4812
0400000US05,05,Arkansas,2977944,*****,2302141,3304,459969,1706,19476,1088,42368,858,7062,624,75106,3110,71822,2359,6651,1106,65171,1923
0400000US06,06,California,38982847,*****,23607242,32279,2263222,6142,292018,6309,5503672,8873,152027,1860,5329952,37811,1834714,22155,399813,8879,1434901,16664
0400000US08,08,Colorado,5436519,*****,4576201,6227,221155,2337,51406,2116,164771,1773,8580,598,225497,5159,188909,4365,33670,2127,155239,3708
0400000US09,09,Connecticut,3594478,*****,2757064,5474,376240,2518,9385,867,156450,1587,931,212,183754,5315,110654,3017,25216,2170,85438,2849
0400000US10,10,Delaware,943732,*****,652170,1798,206290,1405,3482,471,36553,717,465,263,18512,1797,26260,1432,2514,502,23746,1479
0400000US11,11,District of Columbia,672391,*****,273471,1971,321062,1247,1757,465,25558,570,289,84,30961,2100,19293,1277,2665,452,16628,1199
