CBSAFP,CSAFP,METDIVFP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,CBSA_TITLE,MSA_TYPE,METRO_DIVI,CSA_TITLE,MSA_COUNTY,Shape__Are,Shape__Len,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020
10100,"","",A,4436728163,46414613,+45.5892542,-098.3521746,"Aberdeen, SD",Micropolitan Statistical Area,"","",Central,9153797654.97656,387026.567441384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,3,3,4,6,7,9,9,13,13,13,14,14,14,14,14,14,15,15,17,18,20,20,20,27,28,28,30,30,30
10140,"","",A,4924421612,834689898,+47.1137324,-123.8267349,"Aberdeen, WA",Micropolitan Statistical Area,"","",Central,12443502720.6953,506299.172829051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,6,6,6,7,7,8,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12
10180,"","",A,2329363242,4898783,+32.2931499,-099.3722490,"Abilene, TX",Metropolitan Statistical Area,"","",Outlying,3276447758.17188,228882.810331856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,7,7,11,14,14,18,23,27,31,32,40,45,54,58,62,64,71,77,83,93,130,146,148,148,168,190,199,217,230,236
10220,"","",A,1865885645,12421414,+34.7214447,-096.6919696,"Ada, OK",Micropolitan Statistical Area,"","",Central,2787376800.80469,275846.214788414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,3,3,5,5,5,7,7,7,8,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
10300,220,"",A,1941541486,30482189,+41.8960225,-084.0743563,"Adrian, MI",Micropolitan Statistical Area,"","Detroit-Warren-Ann Arbor, MI",Central,3561714351.63281,241418.087877745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,8,11,15,15,18,22,24,24,27,31,32,32,36,39,39,43,47,50,53,56,59,59,62,64,65,71,77,80,80,82,82,84
10420,184,"",A,1262370045,43127736,+41.1689703,-081.1969618,"Akron, OH",Metropolitan Statistical Area,"","Cleveland-Akron-Canton, OH",Central,2305841223.76953,193339.833078673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,4,4,6,10,15,24,25,40,47,58,78,98,126,150,169,188,214,230,258,268,283,300,319,337,359,377,396,406,419,452,472,489,508,526,550,571,612,653,673,689,705,721
10460,"","",A,17126456771,36943378,+32.6155988,-105.7513079,"Alamogordo, NM",Micropolitan Statistical Area,"","",Central,24260291196.6992,717511.577088927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4
10500,"","",A,851183464,15352849,+31.5325876,-084.2090400,"Albany, GA",Metropolitan Statistical Area,"","",Central,1196440939.29297,168484.80159923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,8,8,8,9,23,61,65,72,93,132,152,201,253,281,310,354,624,658,700,813,912,921,975,1329,1371,1427,1483,1524,1618,1714,1788,1832,1876,1912,1946,1969,1990,2027,2056,2062,2065,2074,2078,2097
10540,440,"",A,5923636964,50354267,+44.4888982,-122.5372084,"Albany-Lebanon, OR",Metropolitan Statistical Area,"","Portland-Vancouver-Salem, OR-WA",Central,11740253080.6641,598496.105196155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,9,10,10,15,15,18,19,19,19,20,20,25,26,28,32,36,36,37,37,37,37,41,43,44,45,46,49,49,51,52,52,52,53,54,57,59,59,61,62,63,67,67,71,74,79
10580,104,"",A,1354120790,27124553,+42.5882401,-073.9740095,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,"","Albany-Schenectady, NY",Central,2550672360.92969,226024.157915902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,4,6,9,13,21,38,68,86,115,177,230,254,283,304,340,376,392,428,448,468,523,554,598,634,664,699,736,759,809,902,935,990,1029,1134,1156,1214,1275,1335,1394,1407,1437,1487,1523,1599,1904,2004,2053
