Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags,Cov Num,Date Added
Correction to Lancet Public Health 2019; published online April 24. https://doi.org/10.1016/S2468-2667(20)30099-2,,,2020,,The Lancet Public Health,,,,,https://doi.org/10.1016/S2468-2667(20)30110-9,25934,#141467,,,,141467,30-04-20
Möglichkeiten und Grenzen von Ethikberatung im Rahmen der COVID-19-Pandemie (Stand: 31.03.2020),,,2020,,Ethik in der Medizin,,,01-May,,10.1007/s00481-020-00580-4,25940,#141473,,,,141473,30-04-20
Evolution of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) as coronavirus disease 2019 (COVID-19) pandemic: A global health emergency,"Acter, Thamina; Uddin, Nizam; Das, Jagotamoy; Akhter, Afroza; Choudhury, Tasrina Rabia; Kim, Sunghwan","According to data compiled by researchers at Johns Hopkins University in Baltimore, Maryland, more than two and half million cases of coronavirus disease 2019 (COVID-19), caused by a newly discovered virus named severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), have been confirmed on April 20, 2020 (Nature, 2020b). Since the emergence of this infectious disease in Asia (Wuhan, China) late last year, it has been subsequently span to every continent of the world except Antarctica (Rodríguez-Morales et al., 2020). Along with a foothold in every country, the current disease pandemic is disrupting practically every aspect of life all over the world. As the outbreak are continuing to evolve, several research activities have been conducted for better understanding the origin, functions, treatments, and preventions of this novel coronavirus. This review will be a summa of the key features of novel coronavirus (nCoV), the virus causing disease 2019 and the present epidemic situation worldwide up to April 20, 2020. It is expected that this record will play an important role to take more preventive measures for overcoming the challenges faced during this current pandemic.",2020,,Science of The Total Environment,,,138996-138996,,https://doi.org/10.1016/j.scitotenv.2020.138996,25943,#141476,Acter 2020,,,141476,30-04-20
The distress of Iranian adults during the Covid-19 pandemic – More distressed than the Chinese and with different predictors,"Afshar Jahanshahi, Asghar; Mokhtari Dinani, Maryam; Nazarian Madavani, Abbas; Li, Jizhen; Zhang, Stephen X.",,2020,,"Brain, Behavior, and Immunity",,,,,https://doi.org/10.1016/j.bbi.2020.04.081,25945,#141478,AfsharJahanshahi 2020,,,141478,30-04-20
Covid-19 and Health at Work,"Agius, Raymond",,2020,,Occupational Medicine,,,,,10.1093/occmed/kqaa075,25947,#141479,Agius 2020,,,141479,30-04-20
Neuropsychiatric and cognitive effects of the COVID-19 outbreak on multiple sclerosis patients,"Akhoundi, Fahimeh Haji; Sahraian, Mohammad Ali; Moghadasi, Abdorreza Naser",,2020,,Multiple Sclerosis and Related Disorders,,,102164-102164,,https://doi.org/10.1016/j.msard.2020.102164,25949,#141482,Akhoundi 2020,,,141482,30-04-20
"The Human Coronavirus Disease COVID-19: Its Origin, Characteristics, and Insights into Potential Drugs and Its Mechanisms","Alanagreh, Lo’ai; Alzoughool, Foad; Atoum, Manar","The emerging coronavirus disease (COVID-19) swept across the world, affecting more than 200 countries and territories. Genomic analysis suggests that the COVID-19 virus originated in bats and transmitted to humans through unknown intermediate hosts in the Wuhan seafood market, China, in December of 2019. This virus belongs to the Betacoronavirus group, the same group of the 2003 severe acute respiratory syndrome coronavirus (SARS-CoV), and for the similarity, it was named SARS-CoV-2. Given the lack of registered clinical therapies or vaccines, many physicians and scientists are investigating previously used clinical drugs for COVID-19 treatment. In this review, we aim to provide an overview of the CoVs origin, pathogenicity, and genomic structure, with a focus on SARS-CoV-2. Besides, we summarize the recently investigated drugs that constitute an option for COVID-19 treatment.",2020,,Pathogens,9,5,331-331,,10.3390/pathogens9050331,25950,#141483,Alanagreh 2020,,,141483,30-04-20
"Review Article: Prevention, Diagnosis and Management of COVID-19 in the Inflammatory Bowel Disease Patient","Al-Ani, Aysha; Prentice, Ralley; Rentsch, Clarissa; Johnson, Doug; Ardalan, Zaid; Heerasing, Neel; Garg, Mayur; Campbell, Sian; Sasadeusz, Joe; Macrae, Fin; Ng, Siew C.; Rubin, David T.; Christensen, Britt","Summary Background The current COVID-19 pandemic, caused by SARS-CoV-2, has emerged as a public health emergency. All nations are seriously challenged as the virus spreads rapidly across the globe with no regard for borders. The primary management of inflammatory bowel disease (IBD) involves treating uncontrolled inflammation with most patients requiring immune based therapies. However, these therapies may weaken the immune system and potentially place IBD patients at increased risk of infections and infectious complications including those from COVID-19. Aim To summarise the scale of the COVID-19 pandemic, review unique concerns regarding IBD management and infection risk during the pandemic and assess COVID-19 management options and drug interactions in the IBD population. Methods A literature review on IBD, SARS-CoV-2 and COVID-19 was undertaken and relevant literature was summarized and critically examined. Results IBD patients do not appear to be more susceptible to SARS-CoV-2 infection and there is no evidence of an association between IBD therapies and increased risk of COVID-19. IBD medication adherence should be encouraged to prevent disease flare but where possible high dose systemic corticosteroids should be avoided. Patients should exercise social distancing, optimise co-morbidities and be up to date with influenza and pneumococcal vaccine. If a patient develops COVID-19, immune suppressing medications should be withheld until infection resolution and if trial medications for COVID-19 are being considered, potential drug interactions should be checked. Conclusion IBD patient management presents a challenge in the current COVID-19 pandemic. The primary focus should remain on keeping bowel inflammation controlled and encouraging medication adherence.",2020,,Alimentary Pharmacology & Therapeutics,n/a,n/a,,,10.1111/apt.15779,25951,#141484,Al-Ani 2020,,,141484,30-04-20
"HIV/SARS-CoV-2 co-infected patients in Istanbul, Turkey","Altuntas Aydin, Ozlem; Kumbasar Karaosmanoglu, Hayat; Kart Yasar, Kadriye","In December 2019, the causative agent of Coronavirus disease 2019 (COVID-19) was identified and named as SARS-CoV-2. Since then it has been spreading and severe form of the illness predominantly occurs in adults with advanced age or underlying comorbidities. The European AIDS Clinical Society states the lack of evidence for a higher COVID-19 infection rate among people living with HIV (PLHIV) and there is a few published literature on the course of COVID-19 co-infection in PLHIV. We described four HIV/SARS-CoV-2 co-infected patients with different characteristics. The impression is that comorbidities is an important factor in mortality in HIV/SARS-CoV-2 co-infected cases. This article is protected by copyright. All rights reserved.",2020,,Journal of medical virology,,,,,10.1002/jmv.25955,25955,#141488,AltuntasAydin 2020,,,141488,30-04-20
Ambulatory Management of perianal Crohn’s Disease during the Covid-19 Pandemic,"Andrea, Divizia; Bruno, Sensi; Giuseppe, Sica","Abstract Since the severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) outbreak, in the newly re-organized COVID-19 Hospitals, almost all surgical services have been shut down. In particular, all day-case procedures, such as exploration under anaesthesia (EUA) for anal fistula, have been postponed.",2020,,Colorectal Disease,n/a,n/a,,,10.1111/codi.15104,25956,#141489,Andrea 2020,,,141489,30-04-20
"Impact of COVID-19 related healthcare crisis on treatments for patients with lysosomal storage disorders, the first Italian experience","Annalisa, Sechi; Daniela, Macor; Serena, Valent; Maria, Da Riol Rosalia; Manuela, Zanatta; Alessandro, Spinelli; Katja, Bianchi; Nadia, Bertossi; Andrea, Dardis; Francesca, Valent; Maurizio, Scarpa","The direct and indirect effects of Coronavirus Disease-19 (COVID-19) pandemic, on Italian patients with lysosomal storage disorders receiving therapy, were analyzed by a phone questionnaire. No proved COVID-19 emerged among 102 interviewed. No problems were reported by patients receiving oral treatments. Forty-nine% of patients receiving enzyme replacement therapy in hospitals experienced disruptions, versus 6% of those home-treated. The main reasons of missed infusions were fear of infection (62.9%) and re-organization of the infusion centers (37%).",2020,,Molecular Genetics and Metabolism,,,,,https://doi.org/10.1016/j.ymgme.2020.04.002,25958,#141491,Annalisa 2020,,,141491,30-04-20
Outcome of Parkinson's Disease patients affected by COVID-19,"Antonini, Angelo; Leta, Valentina; Teo, James; Chaudhuri, K. Ray",,2020,,Movement disorders : official journal of the Movement Disorder Society,,,,,10.1002/mds.28104,25959,#141492,Antonini 2020,,,141492,30-04-20
"Does COVID-19 pandemic affect sexual behaviour? A cross-sectional, cross-national online survey","Arafat, S. M. Yasir; Mohamed, Angi Alradie; Kar, Sujita Kumar; Sharma, Pawan; Kabir, Russell",,2020,,Psychiatry Research,,,113050-113050,,https://doi.org/10.1016/j.psychres.2020.113050,25960,#141493,Arafat 2020,,,141493,30-04-20
Application of deep learning technique to manage COVID-19 in routine clinical practice using CT images: Results of 10 convolutional neural networks,"Ardakani, Ali Abbasian; Kanafi, Alireza Rajabzadeh; Acharya, U. Rajendra; Khadem, Nazanin; Mohammadi, Afshin","Fast diagnostic methods can control and prevent the spread of pandemic diseases like coronavirus disease 2019 (COVID-19) and assist physicians to better manage patients in high workload conditions. Although a laboratory test is the current routine diagnostic tool, it is time-consuming, imposing a high cost and requiring a well-equipped laboratory for analysis. Computed tomography (CT) has thus far become a fast method to diagnose patients with COVID-19. However, the performance of radiologists in diagnosis of COVID-19 was moderate. Accordingly, additional investigations are needed to improve the performance in diagnosing COVID-19. In this study is suggested a rapid and valid method for COVID-19 diagnosis using an artificial intelligence technique based. 1020 CT slices from 108 patients with laboratory proven COVID-19 (the COVID-19 group) and 86 patients with other atypical and viral pneumonia diseases (the non-COVID-19 group) were included. Ten well-known convolutional neural networks were used to distinguish infection of COVID-19 from non-COVID-19 groups: AlexNet, VGG-16, VGG-19, SqueezeNet, GoogleNet, MobileNet-V2, ResNet-18, ResNet-50, ResNet-101, and Xception. Among all networks, the best performance was achieved by ResNet-101 and Xception. ResNet-101 could distinguish COVID-19 from non-COVID-19 cases with an AUC of 0.994 (sensitivity, 100%; specificity, 99.02%; accuracy, 99.51%). Xception achieved an AUC of 0.994 (sensitivity, 98.04%; specificity, 100%; accuracy, 99.02%). However, the performance of the radiologist was moderate with an AUC of 0.873 (sensitivity, 89.21%; specificity, 83.33%; accuracy, 86.27%). ResNet-101 can be considered as a high sensitivity model to characterize and diagnose COVID-19 infections, and can be used as an adjuvant tool in radiology departments.",2020,,Computers in Biology and Medicine,,,103795-103795,,https://doi.org/10.1016/j.compbiomed.2020.103795,25961,#141494,Ardakani 2020,,,141494,30-04-20
A Marker of Systemic Inflammation or Direct Cardiac Injury: Should Cardiac Troponin Levels be Monitored in COVID-19 Patients?,"Atallah, Bassam; Mallah, Saad I.; AbdelWareth, Laila; AlMahmeed, Wael; Fonarow, Gregg C.",,2020,,European Heart Journal - Quality of Care and Clinical Outcomes,,,,,10.1093/ehjqcco/qcaa033,25963,#141496,Atallah 2020,,,141496,30-04-20
An Invited Commentary on “The Socio-Economic Implications of the Coronavirus and COVID-19 Pandemic: A Review”,"Atar, Shaul; Atar, Itai",,2020,,International Journal of Surgery,,,,,https://doi.org/10.1016/j.ijsu.2020.04.054,25964,#141497,Atar 2020,,,141497,30-04-20
Social Distancing,"Atkinson, Paul",,2020,,The Design Journal,23,3,327-330,,10.1080/14606925.2020.1747891,25965,#141498,Atkinson 2020,,,141498,30-04-20
Coronavirus (COVID-19) in the United Kingdom: A personality-based perspective on concerns and intention to self-isolate,"Bacon, Alison M.; Corr, Philip J.","Objectives Public behaviour change is necessary to contain the spread of coronavirus (COVID-19). Based on the reinforcement sensitivity theory (RST) framework, this study presents an examination of individual differences in some relevant psychological factors. Design Cross-sectional psychometric. Methods UK respondents (N = 202) completed a personality questionnaire (RST-PQ), measures of illness attitudes, concerns about the impact of coronavirus on health services and socio-economic infrastructures, personal safety, and likelihood of voluntary self-isolation. Results Respondents most concerned were older, had negative illness attitudes, and scored higher on reward reactivity (RR), indicating the motivation to take positive approach action despite prevailing worry/anxiety. Personal safety concerns were highest in those with negative illness attitudes and higher fight-flight-freeze system (FFFS, reflecting fear/avoidance) scores. Results suggest people are experiencing psychological conflict: between the urge to stay safe (FFFF-related) and the desire to maintain a normal, pleasurable (RR-related) life. Ways of ameliorating conflict may include maladaptive behaviours (panic buying), reflecting reward-related displacement activity. Intended self-isolation related to FFFS, but also low behavioural inhibition system (related to anxiety) scores. Older people reported themselves less likely to self-isolate. Conclusions Interventions need to consider individual differences in psychological factors in behaviour change, and we discuss relevant literature to inform policy makers and communicators. Statement of contribution What is already known on this subject? Reinforcement sensitivity theory (RST) personality systems can influence perception of persuasive health messages. However, there is limited evidence for their direct effects on health concerns and behaviours, and none relating to specific infectious diseases. What does this study add? Reward reactivity (RR) is associated with concern about impact of coronavirus on the NHS and other social infrastructures, indicating the motivation to take positive-approach action despite worry/anxiety. Personal safety concerns are related to fight-flight-freeze system traits (FFFS, reflecting fear/avoidance). Intended self-isolation related to FFFS, but also low behavioural inhibition system (related to anxiety) scores. Older people reported themselves less likely to self-isolate. Results suggest psychological conflict: between the urge to stay safe (FFFF-related) and the desire to maintain a normal, pleasurable life (RR-related). Ways of ameliorating conflict may include maladaptive behaviours (panic buying), reflecting reward-related displacement activity.",2020,,British journal of health psychology,,,,,10.1111/bjhp.12423,25967,#141500,Bacon 2020,,,141500,30-04-20
